ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR,STR
grid_000008,14.8,40.0,POINT (14.8 40),EU,TF,139.26909280641016,C,0.0,7.929887,7.929887,0.49486083
grid_000009,15.4,40.0,POINT (15.4 40),EU,NF,156.87813651113072,C,0.0,149.38219,30.617813,0.51446176
grid_000010,16.0,40.0,POINT (16 40),EU,NF,182.6686520273247,C,0.0,142.61972,37.38028,0.7133576
grid_000011,10.0,40.6,POINT (10 40.6),EU,TF,191.88785504259073,C,0.0,104.97284,75.02716,0.53669876
grid_000012,10.6,40.6,POINT (10.6 40.6),EU,TF,176.88952702752243,C,0.0,105.141594,74.858406,0.4925565
grid_000015,12.4,40.6,POINT (12.4 40.6),EU,TF,185.22506599157657,C,0.0,69.599625,69.599625,0.21065535
grid_000016,13.0,40.6,POINT (13 40.6),EU,TF,200.41847728403886,C,0.0,65.44385,65.44385,0.15358926
grid_000018,14.2,40.6,POINT (14.2 40.6),EU,NF,205.48260957870042,C,0.0,149.08492,30.915085,0.3331036
grid_000019,14.8,40.6,POINT (14.8 40.6),EU,NF,205.17085659671636,C,0.0,145.02927,34.970734,0.42954785
grid_000020,15.4,40.6,POINT (15.4 40.6),EU,NF,217.40400563748253,C,0.0,129.62387,50.37613,0.71635956
grid_000021,16.0,40.6,POINT (16 40.6),EU,NF,230.917761245561,C,0.0,130.85555,49.144455,0.64265233
grid_000022,10.0,41.2,POINT (10 41.2),EU,NF,254.912308351617,C,0.0,106.232544,73.767456,0.42710787
grid_000023,10.6,41.2,POINT (10.6 41.2),EU,TF,240.89230435180434,C,0.0,105.654724,74.345276,0.49407378
grid_000025,11.8,41.2,POINT (11.8 41.2),EU,TF,239.481907244262,C,0.0,4.309674,4.309674,0.25604182
grid_000026,12.4,41.2,POINT (12.4 41.2),EU,TF,248.80207431046728,C,0.0,76.63798,76.63798,0.25586233
grid_000027,13.0,41.2,POINT (13 41.2),EU,NF,265.5158243487133,C,0.0,144.70782,35.292175,0.3612904
grid_000028,13.6,41.2,POINT (13.6 41.2),EU,TF,281.38906537173716,C,0.0,138.44894,41.551056,0.5673515
grid_000029,14.2,41.2,POINT (14.2 41.2),EU,NF,271.6660741249354,C,0.0,136.56462,43.43538,0.697668
grid_000030,14.8,41.2,POINT (14.8 41.2),EU,NF,271.43243839164137,C,0.0,138.85799,41.142014,0.67490804
grid_000031,15.4,41.2,POINT (15.4 41.2),EU,NF,280.71186330678626,C,0.0,132.01524,47.984756,0.62055683
grid_000032,16.0,41.2,POINT (16 41.2),EU,NF,280.49545687356544,C,0.0,134.84494,45.15506,0.48555207
grid_000033,10.0,41.8,POINT (10 41.8),EU,TF,319.4104138931725,C,0.0,105.63477,74.36523,0.31679872
grid_000036,11.8,41.8,POINT (11.8 41.8),EU,NF,305.17244350763195,C,0.0,132.1255,47.874496,0.3197363
grid_000037,12.4,41.8,POINT (12.4 41.8),EU,NF,313.6559039892092,C,0.0,137.17773,42.822266,0.5455863
grid_000038,13.0,41.8,POINT (13 41.8),EU,NF,331.23036798123815,C,0.0,140.09384,39.90616,0.6231815
grid_000039,13.6,41.8,POINT (13.6 41.8),EU,NF,345.8246766174928,C,0.0,136.10922,43.890778,0.71473664
grid_000040,14.2,41.8,POINT (14.2 41.8),EU,NF,338.03236219124267,C,0.0,123.36835,56.631653,0.71292394
grid_000041,14.8,41.8,POINT (14.8 41.8),EU,NF,337.8463194894833,C,0.0,127.397415,52.602585,0.694057
grid_000042,15.4,41.8,POINT (15.4 41.8),EU,TF,345.27885228978687,C,0.0,138.78024,41.219757,0.67070246
grid_000043,16.0,41.8,POINT (16 41.8),EU,TF,336.0264462066977,C,0.0,145.06665,34.93335,0.5506592
grid_000046,11.2,42.4,POINT (11.2 42.4),EU,TF,369.56703394543155,A,0.0,127.74764,52.252357,0.3500801
grid_000047,11.8,42.4,POINT (11.8 42.4),EU,TF,371.10181837089885,C,0.0,124.89598,55.10402,0.5146265
grid_000048,12.4,42.4,POINT (12.4 42.4),EU,TF,379.13557728258684,C,0.0,123.39194,56.608063,0.7106412
grid_000049,13.0,42.4,POINT (13 42.4),EU,NF,397.2594581392482,C,0.0,136.66951,43.33049,0.8956302
grid_000050,13.6,42.4,POINT (13.6 42.4),EU,NF,410.96966547891174,C,0.0,131.74333,48.256668,0.8331847
grid_000051,14.2,42.4,POINT (14.2 42.4),EU,TF,404.49495597407275,C,0.0,122.86522,57.13478,0.48810336
grid_000052,14.8,42.4,POINT (14.8 42.4),EU,TF,404.34092266507395,C,0.0,122.39419,57.605812,0.5913162
grid_000053,15.4,42.4,POINT (15.4 42.4),EU,TF,410.5146875959161,C,0.0,123.36403,56.63597,0.55418324
grid_000054,16.0,42.4,POINT (16 42.4),EU,TF,395.011422144436,C,0.0,178.96455,1.0354462,0.5946964
grid_000055,10.0,43.0,POINT (10 43),EU,TF,447.9996069428333,C,0.0,131.16829,48.83171,0.30671686
grid_000056,10.6,43.0,POINT (10.6 43),EU,TF,438.9163455288064,C,0.0,128.40912,51.59088,0.52300394
grid_000057,11.2,43.0,POINT (11.2 43),EU,NF,436.17250407093223,C,0.0,127.93907,52.06093,0.6029028
grid_000058,11.8,43.0,POINT (11.8 43),EU,NF,437.4587968863898,C,0.0,129.61893,50.381073,0.65535414
grid_000059,12.4,43.0,POINT (12.4 43),EU,NF,444.96804227134345,C,0.0,133.96254,46.03746,0.8768256
