ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR,STR
grid_000007,14.2,40.0,POINT (14.2 40),EU,TF,139.7319869705538,C,0.0,13.680832,13.680832,0.40559462
grid_000008,14.8,40.0,POINT (14.8 40),EU,TF,139.26909280641016,C,0.0,12.74572,12.74572,0.55952764
grid_000009,15.4,40.0,POINT (15.4 40),EU,NF,156.87813651113072,C,0.0,153.58104,26.41896,0.57491577
grid_000010,16.0,40.0,POINT (16 40),EU,NF,182.6686520273247,C,0.0,145.88983,34.11017,0.6986437
grid_000011,10.0,40.6,POINT (10 40.6),EU,TF,191.88785504259073,C,0.0,105.191765,74.808235,0.5266106
grid_000012,10.6,40.6,POINT (10.6 40.6),EU,TF,176.88952702752243,C,0.0,107.83026,72.16974,0.45715198
grid_000013,11.2,40.6,POINT (11.2 40.6),EU,TF,169.79044514601227,C,0.0,125.20358,54.796417,0.23071359
grid_000014,11.8,40.6,POINT (11.8 40.6),EU,TF,173.79110676137543,C,0.0,133.24901,46.75099,0.07798686
grid_000015,12.4,40.6,POINT (12.4 40.6),EU,TF,185.22506599157657,C,0.0,95.89385,84.10615,0.122864746
grid_000016,13.0,40.6,POINT (13 40.6),EU,TF,200.41847728403886,C,0.0,80.39491,80.39491,0.13829254
grid_000017,13.6,40.6,POINT (13.6 40.6),EU,NF,216.63142327384824,C,0.0,144.62729,35.37271,0.2558946
grid_000018,14.2,40.6,POINT (14.2 40.6),EU,NF,205.48260957870042,C,0.0,151.1167,28.8833,0.3475498
grid_000019,14.8,40.6,POINT (14.8 40.6),EU,NF,205.17085659671636,C,0.0,143.96564,36.034363,0.50529575
grid_000020,15.4,40.6,POINT (15.4 40.6),EU,NF,217.40400563748253,C,0.0,131.78787,48.212128,0.70630586
grid_000021,16.0,40.6,POINT (16 40.6),EU,NF,230.917761245561,C,0.0,134.44298,45.557022,0.6569427
grid_000022,10.0,41.2,POINT (10 41.2),EU,NF,254.912308351617,C,0.0,118.28636,61.71364,0.41893256
grid_000023,10.6,41.2,POINT (10.6 41.2),EU,TF,240.89230435180434,C,0.0,106.787025,73.212975,0.46187484
grid_000025,11.8,41.2,POINT (11.8 41.2),EU,TF,239.481907244262,C,0.0,4.9485908,4.9485908,0.35406846
grid_000026,12.4,41.2,POINT (12.4 41.2),EU,TF,248.80207431046728,C,0.0,87.746315,87.746315,0.19831006
