ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR,STR
grid_000008,15.0,40.0,POINT (15 40),EU,TF,143.31921309463843,C,0.0,126.98891,53.011093,0.33563295
grid_000009,15.6,40.0,POINT (15.6 40),EU,NF,165.94145349257667,C,0.0,132.04265,47.95735,0.2909904
grid_000010,10.2,40.6,POINT (10.2 40.6),EU,TF,186.24481473161194,C,0.0,112.32869,67.67131,0.3261428
grid_000018,15.0,40.6,POINT (15 40.6),EU,TF,207.91734536976583,C,0.0,3.0189848,3.0189848,0.44579932
grid_000019,15.6,40.6,POINT (15.6 40.6),EU,NF,223.9750402787195,C,0.0,141.23628,38.763718,0.6563912
grid_000020,10.2,41.2,POINT (10.2 41.2),EU,TF,250.72977090584513,C,0.0,86.74761,86.74761,0.34427422
grid_000024,12.6,41.2,POINT (12.6 41.2),EU,NF,261.3982147973386,C,0.0,130.61203,49.38797,0.23708116
grid_000026,13.8,41.2,POINT (13.8 41.2),EU,TF,277.1353123939534,C,0.0,144.04895,35.95105,0.5576682
grid_000027,14.4,41.2,POINT (14.4 41.2),EU,NF,270.512051724643,C,0.0,137.8989,42.101105,0.59549254
grid_000028,15.0,41.2,POINT (15 41.2),EU,NF,273.49597855500036,C,0.0,153.35039,26.649612,0.5073848
grid_000034,12.6,41.8,POINT (12.6 41.8),EU,TF,317.49332142171056,C,0.0,141.67256,38.32744,0.61571217
grid_000035,13.2,41.8,POINT (13.2 41.8),EU,NF,334.1225098129041,C,0.0,168.45583,11.544174,0.49455032
grid_000036,13.8,41.8,POINT (13.8 41.8),EU,NF,342.4037383389936,C,0.0,130.56036,49.439636,0.558338
grid_000037,14.4,41.8,POINT (14.4 41.8),EU,NF,337.1139834546539,C,0.0,131.14752,48.852478,0.49295536
grid_000038,15.0,41.8,POINT (15 41.8),EU,SS,339.49148866017384,C,0.0,136.95671,43.04329,0.6968351
grid_000039,15.6,41.8,POINT (15.6 41.8),EU,TF,349.3796578530536,C,0.0,145.83719,34.16281,0.5300669
grid_000044,12.6,42.4,POINT (12.6 42.4),EU,NF,382.2871823118039,C,0.0,97.50018,82.49982,0.4890026
grid_000045,13.2,42.4,POINT (13.2 42.4),EU,NF,399.65196394131556,C,0.0,144.4088,35.5912,0.82878363
grid_000046,13.8,42.4,POINT (13.8 42.4),EU,TF,408.1216712574927,C,0.0,134.6304,45.3696,0.47678226
grid_000048,15.0,42.4,POINT (15 42.4),EU,NF,405.70393714240055,C,0.0,116.36828,63.63172,0.5257505
grid_000051,10.8,43.0,POINT (10.8 43),EU,TF,437.57039839418513,C,0.0,122.92689,57.073112,0.4554639
grid_000052,11.4,43.0,POINT (11.4 43),EU,NF,435.92321748544236,B,0.0,157.88545,22.114548,0.28436857
grid_000053,12.0,43.0,POINT (12 43),EU,NF,439.6636531031466,A,0.0,133.3437,46.656296,0.5301198
grid_000054,12.6,43.0,POINT (12.6 43),EU,NF,447.6313179808152,C,0.0,137.57527,42.42473,0.7924571
grid_000055,13.2,43.0,POINT (13.2 43),EU,NF,465.50489674239503,C,0.0,156.11786,23.882141,0.8929538
grid_000056,13.8,43.0,POINT (13.8 43),EU,NF,474.10518326354264,C,0.0,78.25382,78.25382,0.52157646
grid_000057,14.4,43.0,POINT (14.4 43),EU,TF,470.36957096309635,C,0.0,67.05103,67.05103,0.45546538
grid_000058,15.0,43.0,POINT (15 43),EU,TF,472.045018481403,C,0.0,17.741539,17.741539,0.70037633
grid_000059,15.6,43.0,POINT (15.6 43),EU,TF,469.2815642929185,C,0.0,23.648441,23.648441,0.6181464
grid_000060,10.2,43.6,POINT (10.2 43.6),EU,TF,509.2309870863261,C,0.0,144.64667,35.353333,0.48670942
grid_000061,10.8,43.6,POINT (10.8 43.6),EU,NF,504.1150890756672,C,0.0,130.35254,49.64746,0.5567103
grid_000062,11.4,43.6,POINT (11.4 43.6),EU,NF,502.5807716167939,C,0.0,133.72932,46.270676,0.7082887
grid_000063,12.0,43.6,POINT (12 43.6),EU,NF,505.3902384156338,C,0.0,141.69633,38.303665,0.71151483
grid_000064,12.6,43.6,POINT (12.6 43.6),EU,NF,513.3183640614437,C,0.0,132.62656,47.373444,0.6106344
grid_000065,13.2,43.6,POINT (13.2 43.6),EU,NF,531.5637445704956,C,0.0,157.38078,22.619217,0.5198729
grid_000066,13.8,43.6,POINT (13.8 43.6),EU,SS,540.2595785294394,C,0.0,29.035961,29.035961,0.6697746
grid_000070,10.2,44.2,POINT (10.2 44.2),EU,NF,575.1738078018959,C,0.0,109.96656,70.03344,0.7335391
grid_000071,10.8,44.2,POINT (10.8 44.2),EU,TF,570.6934635555705,C,0.0,127.962585,52.037415,0.60090935
grid_000072,11.4,44.2,POINT (11.4 44.2),EU,NF,569.2457224837034,C,0.0,150.15842,29.841583,0.6818503
grid_000073,12.0,44.2,POINT (12 44.2),EU,NF,571.7036633454505,C,0.0,18.995804,18.995804,0.7509918
grid_000074,12.6,44.2,POINT (12.6 44.2),EU,TF,579.2341012762666,C,0.0,121.07796,58.922043,0.5670048
grid_000075,13.2,44.2,POINT (13.2 44.2),EU,TF,588.0764284835067,C,0.0,31.894108,31.894108,0.55334175
grid_000079,15.6,44.2,POINT (15.6 44.2),EU,NF,592.181124851528,C,0.0,25.335793,25.335793,0.34726164
grid_000080,10.2,44.8,POINT (10.2 44.8),EU,TF,633.8845812308163,C,0.0,47.54282,47.54282,0.3460849
grid_000081,10.8,44.8,POINT (10.8 44.8),EU,NF,633.8862549721705,C,0.0,164.82317,15.176834,0.706736
grid_000082,11.4,44.8,POINT (11.4 44.8),EU,TF,633.8879287135312,C,0.0,13.760501,13.760501,0.69309413
grid_000087,14.4,44.8,POINT (14.4 44.8),EU,TF,633.8962974203914,C,0.0,0.9908139,0.9908139,0.34928894
grid_000088,15.0,44.8,POINT (15 44.8),EU,TF,633.8979711617778,C,0.0,173.63991,6.360092,0.37248772
grid_000089,15.6,44.8,POINT (15.6 44.8),EU,NF,633.8996449031667,C,0.0,5.724966,5.724966,0.50686836
