ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR,STR
grid_000007,14.4,40.0,POINT (14.4 40),EU,TF,137.43432844851188,C,0.0,13.599912,13.599912,0.5092436
grid_000008,15.0,40.0,POINT (15 40),EU,TF,143.31921309463843,C,0.0,6.566992,6.566992,0.48773235
grid_000009,15.6,40.0,POINT (15.6 40),EU,NF,165.94145349257667,C,0.0,151.26785,28.732147,0.7000355
grid_000010,10.2,40.6,POINT (10.2 40.6),EU,TF,186.24481473161194,C,0.0,103.64018,76.35982,0.5254143
grid_000011,10.8,40.6,POINT (10.8 40.6),EU,TF,172.34640353316755,C,0.0,104.62637,75.37363,0.45714748
grid_000013,12.0,40.6,POINT (12 40.6),EU,TF,176.45239183511615,C,0.0,92.84589,87.15411,0.10979836
grid_000014,12.6,40.6,POINT (12.6 40.6),EU,SS,194.96888018160823,C,0.0,94.33609,85.66391,0.2035622
grid_000015,13.2,40.6,POINT (13.2 40.6),EU,TF,205.24808239798742,C,0.0,1.1738201,1.1738201,0.100761585
grid_000016,13.8,40.6,POINT (13.8 40.6),EU,TF,212.72395808247782,C,0.0,160.99078,19.009216,0.34963426
grid_000017,14.4,40.6,POINT (14.4 40.6),EU,TF,203.9407249986972,C,0.0,165.63556,14.364441,0.40204656
grid_000018,15.0,40.6,POINT (15 40.6),EU,TF,207.91734536976583,C,0.0,135.73764,44.26236,0.619567
grid_000019,15.6,40.6,POINT (15.6 40.6),EU,NF,223.9750402787195,C,0.0,130.84328,49.156723,0.7504574
grid_000020,10.2,41.2,POINT (10.2 41.2),EU,TF,250.72977090584513,C,0.0,107.378174,72.621826,0.5206357
grid_000021,10.8,41.2,POINT (10.8 41.2),EU,TF,238.3615364954864,C,0.0,106.64348,73.35652,0.42885557
grid_000022,11.4,41.2,POINT (11.4 41.2),EU,TF,235.99798008690627,C,0.0,132.75827,47.24173,0.12721509
grid_000023,12.0,41.2,POINT (12 41.2),EU,TF,242.40004135874977,A,0.0,127.17717,52.82283,0.15458302
grid_000024,12.6,41.2,POINT (12.6 41.2),EU,NF,261.3982147973386,C,0.0,150.23128,29.768723,0.31039292
grid_000025,13.2,41.2,POINT (13.2 41.2),EU,TF,269.14769031685773,C,0.0,144.68887,35.311127,0.44435558
grid_000026,13.8,41.2,POINT (13.8 41.2),EU,TF,277.1353123939534,C,0.0,141.35236,38.647644,0.5639042
grid_000027,14.4,41.2,POINT (14.4 41.2),EU,NF,270.512051724643,C,0.0,138.1642,41.8358,0.66942745
grid_000028,15.0,41.2,POINT (15 41.2),EU,NF,273.49597855500036,C,0.0,145.23247,34.767532,0.6243768
grid_000029,15.6,41.2,POINT (15.6 41.2),EU,TF,285.7861933552525,C,0.0,136.32065,43.67935,0.6542226
grid_000030,10.2,41.8,POINT (10.2 41.8),EU,TF,315.16289051960956,C,0.0,108.54443,71.45557,0.36056456
grid_000033,12.0,41.8,POINT (12 41.8),EU,NF,308.28367564070686,C,0.0,145.03574,34.964264,0.41940254
grid_000034,12.6,41.8,POINT (12.6 41.8),EU,TF,317.49332142171056,C,0.0,147.74127,32.258728,0.54352903
grid_000035,13.2,41.8,POINT (13.2 41.8),EU,NF,334.1225098129041,C,0.0,146.53787,33.462128,0.6942366
grid_000036,13.8,41.8,POINT (13.8 41.8),EU,NF,342.4037383389936,C,0.0,134.73352,45.26648,0.7049266
grid_000037,14.4,41.8,POINT (14.4 41.8),EU,NF,337.1139834546539,C,0.0,129.80276,50.197235,0.7361158
grid_000038,15.0,41.8,POINT (15 41.8),EU,SS,339.49148866017384,C,0.0,134.64502,45.35498,0.73830384
