ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR,STR
grid_000007,14.6,40.0,POINT (14.6 40),EU,TF,137.27762105245017,C,0.0,10.402056,10.402056,0.48200715
grid_000008,15.2,40.0,POINT (15.2 40),EU,TF,149.26047540977885,C,0.0,156.69685,23.303146,0.39382216
grid_000009,15.8,40.0,POINT (15.8 40),EU,NF,176.2274779375276,C,0.0,145.87581,34.12419,0.717017
grid_000010,10.4,40.6,POINT (10.4 40.6),EU,TF,182.04395702206529,C,0.0,103.7222,76.2778,0.5505712
grid_000011,11.0,40.6,POINT (11 40.6),EU,TF,170.48641067211997,C,0.0,105.80616,74.19384,0.25595742
grid_000013,12.2,40.6,POINT (12.2 40.6),EU,TF,180.07970865668054,C,0.0,78.54601,78.54601,0.1699038
grid_000014,12.8,40.6,POINT (12.8 40.6),EU,TF,196.96766248569423,C,0.0,81.37956,81.37956,0.2085711
grid_000017,14.6,40.6,POINT (14.6 40.6),EU,NF,203.83607407610137,C,0.0,156.24222,23.757782,0.38582265
grid_000018,15.2,40.6,POINT (15.2 40.6),EU,TF,212.02067300992746,C,0.0,129.5979,50.4021,0.6465685
grid_000019,15.8,40.6,POINT (15.8 40.6),EU,NF,231.63268847737393,C,0.0,128.2802,51.719803,0.72813123
grid_000020,10.4,41.2,POINT (10.4 41.2),EU,TF,246.03404083301965,C,0.0,102.47405,77.52595,0.5549736
grid_000022,11.6,41.2,POINT (11.6 41.2),EU,TF,236.8418669427327,C,0.0,172.97754,7.022461,0.19078262
grid_000023,12.2,41.2,POINT (12.2 41.2),EU,TF,245.02968455511,A,0.0,170.9188,9.081207,0.22251558
grid_000024,12.8,41.2,POINT (12.8 41.2),EU,NF,262.94393666051775,C,0.0,144.90436,35.095642,0.35261098
grid_000025,13.4,41.2,POINT (13.4 41.2),EU,TF,273.79733874834847,C,0.0,140.36118,39.638824,0.49238515
grid_000026,14.0,41.2,POINT (14 41.2),EU,TF,273.8823255977524,C,0.0,137.75813,42.241867,0.654464
grid_000027,14.6,41.2,POINT (14.6 41.2),EU,TF,270.4338631118017,C,0.0,138.35455,41.645447,0.650015
grid_000028,15.2,41.2,POINT (15.2 41.2),EU,NF,276.60063933624525,C,0.0,141.023,38.977005,0.58645445
grid_000029,15.8,41.2,POINT (15.8 41.2),EU,NF,290.9487786519172,C,0.0,132.65129,47.34871,0.5467834
grid_000030,10.4,41.8,POINT (10.4 41.8),EU,TF,309.789883442394,C,0.0,105.785774,74.214226,0.31272236
grid_000033,12.2,41.8,POINT (12.2 41.8),EU,NF,310.6991146485611,C,0.0,139.62607,40.37393,0.44829762
grid_000034,12.8,41.8,POINT (12.8 41.8),EU,TF,329.1909599522437,C,0.0,141.4026,38.597397,0.57210654
grid_000035,13.4,41.8,POINT (13.4 41.8),EU,NF,337.845472013796,C,0.0,141.0846,38.915405,0.69570094
grid_000036,14.0,41.8,POINT (14 41.8),EU,NF,339.80000096207624,C,0.0,127.12677,52.87323,0.70809466
grid_000037,14.6,41.8,POINT (14.6 41.8),EU,NF,337.0518115524337,C,0.0,127.274055,52.725945,0.7329842
grid_000038,15.2,41.8,POINT (15.2 41.8),EU,TF,341.97503392878536,C,0.0,133.16895,46.831055,0.6830669
grid_000039,15.8,41.8,POINT (15.8 41.8),EU,TF,344.72193345112515,C,0.0,142.20786,37.792145,0.60950583
grid_000041,11.0,42.4,POINT (11 42.4),EU,SS,370.23665432197515,C,0.0,131.37166,48.62834,0.32929403
grid_000042,11.6,42.4,POINT (11.6 42.4),EU,TF,369.80334218586603,C,0.0,126.680954,53.319046,0.45090395
grid_000043,12.2,42.4,POINT (12.2 42.4),EU,NF,376.7156504003816,C,0.0,119.301315,60.698685,0.6628562
grid_000044,12.8,42.4,POINT (12.8 42.4),EU,NF,386.1525348843511,C,0.0,124.27749,55.72251,0.81496793
grid_000045,13.4,42.4,POINT (13.4 42.4),EU,NF,402.7411311262557,C,0.0,139.82568,40.174316,0.89150965
grid_000046,14.0,42.4,POINT (14 42.4),EU,NF,405.9597640278953,C,0.0,125.55865,54.441353,0.65624774
grid_000047,14.6,42.4,POINT (14.6 42.4),EU,TF,403.68340761239745,C,0.0,122.97283,57.02717,0.54373574
grid_000048,15.2,42.4,POINT (15.2 42.4),EU,NF,407.765369416427,C,0.0,122.40183,57.598167,0.52096224
grid_000049,15.8,42.4,POINT (15.8 42.4),EU,TF,402.36669424878784,C,0.0,164.85735,15.142654,0.5594222
grid_000050,10.4,43.0,POINT (10.4 43),EU,SS,440.89936267831627,C,0.0,129.51204,50.48796,0.45550656
grid_000051,11.0,43.0,POINT (11 43),EU,TF,436.8607998724774,C,0.0,126.42863,53.571373,0.56367433
