ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR,STR
grid_000007,14.6,40.0,POINT (14.6 40),EU,TF,137.27762105245017,C,0.0,13.019601,13.019601,0.6025974
grid_000008,15.2,40.0,POINT (15.2 40),EU,TF,149.26047540977885,C,0.0,163.41188,16.58812,0.41238976
grid_000009,15.8,40.0,POINT (15.8 40),EU,NF,176.2274779375276,C,0.0,149.46971,30.530289,0.6964206
grid_000010,10.4,40.6,POINT (10.4 40.6),EU,TF,182.04395702206529,C,0.0,103.48204,76.51796,0.5350818
grid_000011,11.0,40.6,POINT (11 40.6),EU,TF,170.48641067211997,C,0.0,106.28808,73.71192,0.3741719
grid_000013,12.2,40.6,POINT (12.2 40.6),EU,TF,180.07970865668054,C,0.0,84.87307,84.87307,0.16973655
grid_000014,12.8,40.6,POINT (12.8 40.6),EU,TF,196.96766248569423,C,0.0,85.01669,85.01669,0.24364354
grid_000015,13.4,40.6,POINT (13.4 40.6),EU,TF,220.4782635175897,C,0.0,158.29817,21.701828,0.19847855
grid_000016,14.0,40.6,POINT (14 40.6),EU,NF,208.42982640796566,C,0.0,150.18419,29.815811,0.37019646
grid_000017,14.6,40.6,POINT (14.6 40.6),EU,NF,203.83607407610137,C,0.0,154.89095,25.109055,0.44979882
grid_000018,15.2,40.6,POINT (15.2 40.6),EU,TF,212.02067300992746,C,0.0,133.14984,46.85016,0.6705959
grid_000019,15.8,40.6,POINT (15.8 40.6),EU,NF,231.63268847737393,C,0.0,131.75725,48.242752,0.7322553
grid_000020,10.4,41.2,POINT (10.4 41.2),EU,TF,246.03404083301965,C,0.0,106.67336,73.32664,0.50889766
grid_000021,11.0,41.2,POINT (11 41.2),EU,TF,237.03211069400558,C,0.0,104.659676,75.340324,0.39981282
grid_000022,11.6,41.2,POINT (11.6 41.2),EU,TF,236.8418669427327,C,0.0,3.495581,3.495581,0.3500924
grid_000023,12.2,41.2,POINT (12.2 41.2),EU,TF,245.02968455511,C,0.0,145.92369,34.07631,0.20094985
grid_000024,12.8,41.2,POINT (12.8 41.2),EU,NF,262.94393666051775,C,0.0,149.4779,30.522095,0.4120564
grid_000025,13.4,41.2,POINT (13.4 41.2),EU,TF,273.79733874834847,C,0.0,143.7757,36.224304,0.3971043
grid_000026,14.0,41.2,POINT (14 41.2),EU,TF,273.8823255977524,C,0.0,142.44366,37.556335,0.60249424
grid_000027,14.6,41.2,POINT (14.6 41.2),EU,TF,270.4338631118017,C,0.0,142.1952,37.804794,0.58781
grid_000028,15.2,41.2,POINT (15.2 41.2),EU,NF,276.60063933624525,C,0.0,140.81052,39.189484,0.6301481
grid_000029,15.8,41.2,POINT (15.8 41.2),EU,NF,290.9487786519172,C,0.0,133.93723,46.062775,0.62222147
grid_000030,10.4,41.8,POINT (10.4 41.8),EU,TF,309.789883442394,C,0.0,109.01344,70.98656,0.3060377
grid_000032,11.6,41.8,POINT (11.6 41.8),EU,TF,303.28383431735284,C,0.0,151.51343,28.486572,0.24198744
grid_000033,12.2,41.8,POINT (12.2 41.8),EU,NF,310.6991146485611,C,0.0,146.75125,33.24875,0.4963763
grid_000034,12.8,41.8,POINT (12.8 41.8),EU,TF,329.1909599522437,C,0.0,149.35469,30.64531,0.56494653
grid_000035,13.4,41.8,POINT (13.4 41.8),EU,NF,337.845472013796,C,0.0,143.46901,36.53099,0.7269191
grid_000036,14.0,41.8,POINT (14 41.8),EU,NF,339.80000096207624,C,0.0,130.67175,49.328247,0.7451936
grid_000037,14.6,41.8,POINT (14.6 41.8),EU,NF,337.0518115524337,C,0.0,130.88239,49.117615,0.77852535
grid_000038,15.2,41.8,POINT (15.2 41.8),EU,TF,341.97503392878536,C,0.0,134.0187,45.981293,0.7195213
grid_000039,15.8,41.8,POINT (15.8 41.8),EU,TF,344.72193345112515,C,0.0,138.43779,41.56221,0.5589239
grid_000040,10.4,42.4,POINT (10.4 42.4),EU,TF,375.0303202831319,C,0.0,140.2408,39.7592,0.1449841
grid_000041,11.0,42.4,POINT (11 42.4),EU,SS,370.23665432197515,C,0.0,139.51315,40.486847,0.32573116
grid_000042,11.6,42.4,POINT (11.6 42.4),EU,TF,369.80334218586603,C,0.0,128.56367,51.436325,0.4618923
grid_000043,12.2,42.4,POINT (12.2 42.4),EU,NF,376.7156504003816,C,0.0,123.765205,56.234795,0.68808496
grid_000044,12.8,42.4,POINT (12.8 42.4),EU,NF,386.1525348843511,C,0.0,130.05603,49.94397,0.8347443
grid_000045,13.4,42.4,POINT (13.4 42.4),EU,NF,402.7411311262557,C,0.0,142.22574,37.77426,0.8997161
grid_000046,14.0,42.4,POINT (14 42.4),EU,NF,405.9597640278953,C,0.0,127.69692,52.303078,0.7116633
grid_000047,14.6,42.4,POINT (14.6 42.4),EU,TF,403.68340761239745,C,0.0,122.269196,57.730804,0.5842271
grid_000048,15.2,42.4,POINT (15.2 42.4),EU,NF,407.765369416427,C,0.0,129.38342,50.616577,0.56807464
grid_000049,15.8,42.4,POINT (15.8 42.4),EU,TF,402.36669424878784,C,0.0,169.81453,10.185471,0.5558752
grid_000050,10.4,43.0,POINT (10.4 43),EU,SS,440.89936267831627,C,0.0,135.83722,44.16278,0.4835031
grid_000051,11.0,43.0,POINT (11 43),EU,TF,436.8607998724774,C,0.0,128.8143,51.1857,0.53605217
grid_000052,11.6,43.0,POINT (11.6 43),EU,NF,436.368147407155,C,0.0,131.07304,48.926956,0.6348678
grid_000053,12.2,43.0,POINT (12.2 43),EU,NF,442.774852376114,C,0.0,134.16806,45.83194,0.8450965
grid_000054,12.8,43.0,POINT (12.8 43),EU,NF,450.9060652051976,C,0.0,136.06293,43.937073,1.0178049
grid_000055,13.4,43.0,POINT (13.4 43),EU,NF,468.13497767709123,C,0.0,153.13838,26.861618,0.93388516
grid_000056,14.0,43.0,POINT (14 43),EU,TF,472.2628550896675,C,0.0,76.07641,76.07641,0.7764791
grid_000057,14.6,43.0,POINT (14.6 43),EU,TF,470.3258361052168,C,0.0,17.844288,17.844288,0.67465264
grid_000058,15.2,43.0,POINT (15.2 43),EU,TF,473.80137140872046,C,0.0,19.438154,19.438154,0.76529145
grid_000059,15.8,43.0,POINT (15.8 43),EU,TF,462.44051773704496,C,0.0,25.044754,25.044754,0.75583893
grid_000060,10.4,43.6,POINT (10.4 43.6),EU,TF,506.9798279247411,C,0.0,135.01706,44.98294,0.6126305
grid_000061,11.0,43.6,POINT (11 43.6),EU,NF,503.4729239453721,C,0.0,132.14221,47.857788,0.7530972
grid_000062,11.6,43.6,POINT (11.6 43.6),EU,SS,502.9630616929982,C,0.0,134.54947,45.45053,0.82661265
grid_000063,12.2,43.6,POINT (12.2 43.6),EU,NF,508.4641415579464,C,0.0,134.50273,45.49727,0.85138357
grid_000064,12.8,43.6,POINT (12.8 43.6),EU,NF,516.1493845800422,C,0.0,145.5903,34.4097,0.8336012
grid_000065,13.4,43.6,POINT (13.4 43.6),EU,TF,533.8465995316574,C,0.0,37.742035,37.742035,0.7383059
grid_000066,14.0,43.6,POINT (14 43.6),EU,TF,538.6589617272169,C,0.0,25.254795,25.254795,0.6237483
grid_000067,14.6,43.6,POINT (14.6 43.6),EU,TF,536.9776837975385,C,0.0,13.504504,13.504504,0.5073509
grid_000068,15.2,43.6,POINT (15.2 43.6),EU,TF,539.9955244548873,C,0.0,16.21884,16.21884,0.6251923
grid_000069,15.8,43.6,POINT (15.8 43.6),EU,TF,524.1114856576626,C,0.0,21.160559,21.160559,0.6739652
grid_000070,10.4,44.2,POINT (10.4 44.2),EU,NF,573.201056481863,C,0.0,110.380356,69.619644,0.8015597
grid_000071,11.0,44.2,POINT (11 44.2),EU,TF,570.0917077907833,C,0.0,147.4971,32.5029,0.7258236
grid_000072,11.6,44.2,POINT (11.6 44.2),EU,NF,569.5799965221895,C,0.0,151.53372,28.466278,0.6677328
grid_000073,12.2,44.2,POINT (12.2 44.2),EU,TF,574.1528748161584,C,0.0,30.662966,30.662966,0.570758
grid_000074,12.8,44.2,POINT (12.8 44.2),EU,SS,581.7201379352907,C,0.0,19.597195,19.597195,0.5973739
grid_000075,13.4,44.2,POINT (13.4 44.2),EU,TF,599.77390638028,C,0.0,41.807915,41.807915,0.61687803
grid_000076,14.0,44.2,POINT (14 44.2),EU,SS,605.119794192426,C,0.0,35.969685,35.969685,0.5057317
grid_000077,14.6,44.2,POINT (14.6 44.2),EU,TF,603.6381640788991,C,0.0,12.481841,12.481841,0.35699004
grid_000078,15.2,44.2,POINT (15.2 44.2),EU,TF,604.0211917214974,C,0.0,18.369862,18.369862,0.40120384
grid_000079,15.8,44.2,POINT (15.8 44.2),EU,TF,586.8787112247282,C,0.0,24.542723,24.542723,0.5691024
grid_000080,10.4,44.8,POINT (10.4 44.8),EU,TF,633.8851391446001,C,0.0,3.4144056,3.4144056,0.672171
grid_000081,11.0,44.8,POINT (11 44.8),EU,NF,633.8868128859573,C,0.0,1.1614852,1.1614852,0.7240815
grid_000082,11.6,44.8,POINT (11.6 44.8),EU,TF,633.8884866273182,C,0.0,12.474693,12.474693,0.72046727
grid_000083,12.2,44.8,POINT (12.2 44.8),EU,TF,633.8901603686821,C,0.0,8.481348,8.481348,0.59883744
grid_000084,12.8,44.8,POINT (12.8 44.8),EU,NF,633.8918341100521,C,0.0,135.93942,44.060577,0.54601085
grid_000085,13.4,44.8,POINT (13.4 44.8),EU,TF,633.8935078514266,C,0.0,12.308777,12.308777,0.3632912
grid_000086,14.0,44.8,POINT (14 44.8),EU,TF,633.8951815928036,C,0.0,1.903355,1.903355,0.5109458
grid_000087,14.6,44.8,POINT (14.6 44.8),EU,TF,633.8968553341862,C,0.0,6.6921997,6.6921997,0.55749315
grid_000088,15.2,44.8,POINT (15.2 44.8),EU,TF,633.8985290755737,C,0.0,9.715812,9.715812,0.59679186
grid_000089,15.8,44.8,POINT (15.8 44.8),EU,NF,633.9002028169641,C,0.0,12.664167,12.664167,0.5554157
