ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR,STR
grid_000009,15.4,40.2,POINT (15.4 40.2),EU,SS,176.56558519663224,C,0.0,121.102356,58.897644,0.5365067
grid_000010,16.0,40.2,POINT (16 40.2),EU,NF,203.3534133869033,C,0.0,140.99734,39.002655,0.4784686
grid_000011,10.0,40.8,POINT (10 40.8),EU,TF,212.6511772072219,C,0.0,93.618706,86.381294,0.63470304
grid_000015,12.4,40.8,POINT (12.4 40.8),EU,TF,206.20257347811278,C,0.0,112.98171,67.01829,0.25207722
grid_000019,14.8,40.8,POINT (14.8 40.8),EU,NF,227.2332775528267,C,0.0,146.03334,33.96666,0.34685904
grid_000020,15.4,40.8,POINT (15.4 40.8),EU,NF,238.30473622775847,C,0.0,130.21855,49.78145,0.72976524
grid_000021,16.0,40.8,POINT (16 40.8),EU,NF,246.5520785923091,C,0.0,3.6336238,3.6336238,0.18547349
grid_000022,10.0,41.4,POINT (10 41.4),EU,NF,276.29817090772565,C,0.0,87.86215,87.86215,0.49024817
grid_000026,12.4,41.4,POINT (12.4 41.4),EU,TF,270.32290612574786,C,0.0,20.55284,20.55284,0.41292846
grid_000028,13.6,41.4,POINT (13.6 41.4),EU,SS,302.76100890812194,C,0.0,145.07733,34.92267,0.5396385
grid_000029,14.2,41.4,POINT (14.2 41.4),EU,NF,293.7737331453443,C,0.0,134.85965,45.14035,0.69281745
grid_000030,14.8,41.4,POINT (14.8 41.4),EU,NF,293.5583411009812,C,0.0,137.75792,42.24208,0.5596688
grid_000032,16.0,41.4,POINT (16 41.4),EU,TF,298.5008657269355,C,0.0,26.454294,26.454294,0.17708734
grid_000037,12.4,42.0,POINT (12.4 42),EU,NF,335.43074502215467,C,0.0,147.45499,32.545013,0.4560511
grid_000038,13.0,42.0,POINT (13 42),EU,NF,353.21361304652373,C,0.0,144.76147,35.238525,0.4380573
grid_000039,13.6,42.0,POINT (13.6 42),EU,NF,367.479211020273,C,0.0,139.4334,40.566605,0.6488089
grid_000040,14.2,42.0,POINT (14.2 42),EU,NF,360.17829833472746,C,0.0,136.87297,43.12703,0.3958527
grid_000041,14.8,42.0,POINT (14.8 42),EU,NF,360.00423343750396,C,0.0,132.00417,47.995834,0.59689987
grid_000042,15.4,42.0,POINT (15.4 42),EU,TF,366.9671658508518,C,0.0,169.87053,10.129471,0.52986825
grid_000043,16.0,42.0,POINT (16 42),EU,TF,355.3870004520712,C,0.0,147.11105,32.888947,0.23509589
grid_000047,11.8,42.6,POINT (11.8 42.6),EU,NF,393.2089576733197,C,0.0,124.11159,55.888412,0.49644923
grid_000048,12.4,42.6,POINT (12.4 42.6),EU,NF,401.0489204978425,C,0.0,104.87882,75.12118,0.5670539
grid_000049,13.0,42.6,POINT (13 42.6),EU,NF,419.3139706953325,C,0.0,142.3319,37.668106,0.84109366
grid_000050,13.6,42.6,POINT (13.6 42.6),EU,NF,428.0622137222115,C,0.0,138.26086,41.739136,0.6195478
grid_000053,15.4,42.6,POINT (15.4 42.6),EU,TF,432.3569240250586,C,0.0,38.006115,38.006115,0.19755685
grid_000054,16.0,42.6,POINT (16 42.6),EU,TF,415.18933934878635,C,0.0,32.37377,32.37377,0.5429153
grid_000056,10.6,43.2,POINT (10.6 43.2),EU,TF,461.0246588443703,C,0.0,126.01747,53.98253,0.4084981
grid_000057,11.2,43.2,POINT (11.2 43.2),EU,SS,458.3758057917257,C,0.0,133.56577,46.434235,0.5868003
grid_000059,12.4,43.2,POINT (12.4 43.2),EU,NF,466.9653503173555,C,0.0,141.93979,38.06021,0.71751857
grid_000060,13.0,43.2,POINT (13 43.2),EU,NF,476.2941421195724,C,0.0,143.58492,36.415085,0.75684077
grid_000061,13.6,43.2,POINT (13.6 43.2),EU,NF,493.0742772427285,C,0.0,83.639915,83.639915,0.45241022
grid_000062,14.2,43.2,POINT (14.2 43.2),EU,TF,493.19918033034344,C,0.0,67.43383,67.43383,0.3639863
grid_000063,14.8,43.2,POINT (14.8 43.2),EU,TF,493.0744349766582,C,0.0,1.7975749,1.7975749,0.48026642
grid_000064,15.4,43.2,POINT (15.4 43.2),EU,TF,496.400620180753,C,0.0,25.53918,25.53918,0.7608184
grid_000065,16.0,43.2,POINT (16 43.2),EU,TF,476.81482406318037,C,0.0,28.03364,28.03364,0.24207541
grid_000066,10.0,43.8,POINT (10 43.8),EU,NF,533.8558557325297,C,0.0,148.82349,31.176514,0.23580563
grid_000067,10.6,43.8,POINT (10.6 43.8),EU,NF,527.4099580436502,C,0.0,152.02493,27.975067,0.28439158
grid_000068,11.2,43.8,POINT (11.2 43.8),EU,NF,524.9901494787091,C,0.0,132.32858,47.671417,0.6939899
grid_000069,11.8,43.8,POINT (11.8 43.8),EU,NF,526.0615999038178,C,0.0,133.32019,46.67981,0.77713525
grid_000070,12.4,43.8,POINT (12.4 43.8),EU,NF,533.0720440095542,C,0.0,142.9341,37.065903,0.57331
grid_000071,13.0,43.8,POINT (13 43.8),EU,TF,541.1847457794406,C,0.0,28.363222,28.363222,0.30318284
grid_000072,13.6,43.8,POINT (13.6 43.8),EU,TF,558.4799222690123,C,0.0,58.00561,58.00561,0.4987798
grid_000076,16.0,43.8,POINT (16 43.8),EU,TF,539.6418249744205,C,0.0,16.596258,16.596258,0.4578241
grid_000077,10.0,44.4,POINT (10 44.4),EU,NF,599.5402587185334,C,0.0,125.74082,54.25918,0.6430876
grid_000078,10.6,44.4,POINT (10.6 44.4),EU,NF,593.8640207498407,C,0.0,176.64998,3.3500214,0.47453144
grid_000079,11.2,44.4,POINT (11.2 44.4),EU,NF,591.6151139665161,C,0.0,161.7864,18.213593,0.61670226
grid_000080,11.8,44.4,POINT (11.8 44.4),EU,TF,592.5763501537756,C,0.0,21.448381,21.448381,0.64471686
grid_000081,12.4,44.4,POINT (12.4 44.4),EU,TF,599.1601268498725,C,0.0,161.01729,18.982712,0.48988557
grid_000086,15.4,44.4,POINT (15.4 44.4),EU,TF,618.596554992545,C,0.0,31.723658,31.723658,0.50713694
grid_000087,16.0,44.4,POINT (16 44.4),EU,NF,603.2974152701129,C,0.0,11.078101,11.078101,0.3345697
grid_000088,10.0,45.0,POINT (10 45),EU,TF,611.6580586793792,C,0.0,38.78393,38.78393,0.33300766
grid_000089,10.6,45.0,POINT (10.6 45),EU,TF,611.6597324207313,C,0.0,157.45248,22.547516,0.5669199
grid_000090,11.2,45.0,POINT (11.2 45),EU,TF,611.6614061620888,C,0.0,10.627535,10.627535,0.7475343
grid_000091,11.8,45.0,POINT (11.8 45),EU,NF,611.663079903452,C,0.0,145.10236,34.897644,0.24605246
grid_000096,14.8,45.0,POINT (14.8 45),EU,TF,611.6714486103276,C,0.0,6.5927353,6.5927353,0.68153316
grid_000097,15.4,45.0,POINT (15.4 45),EU,NF,611.6731223517166,C,0.0,4.9845476,4.9845476,0.5002748
grid_000098,16.0,45.0,POINT (16 45),EU,TF,611.6747960931081,C,0.0,4.4858913,4.4858913,0.3350261
