ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR,STR
grid_000000,10.0,40.2,POINT (10 40.2),EU,TF,151.59781583850145,C,0.0,114.21251,65.78749,0.27718326
grid_000001,10.6,40.2,POINT (10.6 40.2),EU,TF,134.36672234466042,C,0.0,117.73653,62.263474,0.3115734
grid_000004,12.4,40.2,POINT (12.4 40.2),EU,TF,149.1011310094924,C,0.0,56.72611,56.72611,0.085048266
grid_000007,14.2,40.2,POINT (14.2 40.2),EU,TF,161.5686113480964,C,0.0,14.733383,14.733383,0.19606027
grid_000008,14.8,40.2,POINT (14.8 40.2),EU,TF,161.16960724899923,C,0.0,150.6044,29.3956,0.26781806
grid_000009,15.4,40.2,POINT (15.4 40.2),EU,SS,176.56558519663224,C,0.0,142.9393,37.0607,0.57548434
grid_000010,16.0,40.2,POINT (16 40.2),EU,NF,203.3534133869033,C,0.0,144.4521,35.547897,0.7091942
grid_000011,10.0,40.8,POINT (10 40.8),EU,TF,212.6511772072219,C,0.0,108.51702,71.48298,0.50490934
grid_000012,10.6,40.8,POINT (10.6 40.8),EU,TF,198.14838945050386,C,0.0,110.62543,69.37457,0.44916046
grid_000013,11.2,40.8,POINT (11.2 40.8),EU,TF,191.98490169355813,C,0.0,117.50014,62.499863,0.23602751
grid_000014,11.8,40.8,POINT (11.8 40.8),EU,TF,195.68806561133118,C,0.0,148.17122,31.828781,0.06464822
grid_000015,12.4,40.8,POINT (12.4 40.8),EU,TF,206.20257347811278,C,0.0,81.991974,81.991974,0.16727759
grid_000016,13.0,40.8,POINT (13 40.8),EU,TF,222.01578786439836,C,0.0,81.59814,81.59814,0.19393168
grid_000017,13.6,40.8,POINT (13.6 40.8),EU,TF,238.02859928717515,C,0.0,149.84297,30.157028,0.33357525
grid_000018,14.2,40.8,POINT (14.2 40.8),EU,NF,227.51397218554516,C,0.0,147.60002,32.39998,0.5352459
grid_000019,14.8,40.8,POINT (14.8 40.8),EU,NF,227.2332775528267,C,0.0,142.61139,37.38861,0.5184929
grid_000020,15.4,40.8,POINT (15.4 40.8),EU,NF,238.30473622775847,C,0.0,132.49751,47.502487,0.6837903
grid_000021,16.0,40.8,POINT (16 40.8),EU,NF,246.5520785923091,C,0.0,129.43509,50.56491,0.64927745
grid_000022,10.0,41.4,POINT (10 41.4),EU,NF,276.29817090772565,C,0.0,119.37153,60.62847,0.38264647
grid_000023,10.6,41.4,POINT (10.6 41.4),EU,TF,262.7491184767452,C,0.0,105.74878,74.25122,0.43826786
grid_000025,11.8,41.4,POINT (11.8 41.4),EU,TF,261.37878526148023,C,0.0,156.2767,23.723297,0.2531468
grid_000026,12.4,41.4,POINT (12.4 41.4),EU,TF,270.32290612574786,C,0.0,151.43985,28.56015,0.40824127
grid_000027,13.0,41.4,POINT (13 41.4),EU,TF,287.3726825994409,C,0.0,149.3193,30.680695,0.5377045
grid_000028,13.6,41.4,POINT (13.6 41.4),EU,SS,302.76100890812194,C,0.0,144.36975,35.63025,0.64699185
grid_000029,14.2,41.4,POINT (14.2 41.4),EU,NF,293.7737331453443,C,0.0,134.71616,45.283844,0.70938706
grid_000030,14.8,41.4,POINT (14.8 41.4),EU,NF,293.5583411009812,C,0.0,138.26027,41.73973,0.7114286
grid_000031,15.4,41.4,POINT (15.4 41.4),EU,TF,302.133603396995,C,0.0,141.0853,38.914703,0.6179247
grid_000032,16.0,41.4,POINT (16 41.4),EU,TF,298.5008657269355,C,0.0,136.94498,43.055023,0.5165736
grid_000033,10.0,42.0,POINT (10 42),EU,TF,341.0940617092155,C,0.0,123.43777,56.562233,0.21869344
grid_000036,11.8,42.0,POINT (11.8 42),EU,TF,327.0692187501072,C,0.0,143.16628,36.833725,0.37473595
grid_000037,12.4,42.0,POINT (12.4 42),EU,NF,335.43074502215467,C,0.0,140.61082,39.389175,0.5280575
grid_000038,13.0,42.0,POINT (13 42),EU,NF,353.21361304652373,C,0.0,146.49905,33.500946,0.74682635
grid_000039,13.6,42.0,POINT (13.6 42),EU,NF,367.479211020273,C,0.0,136.62085,43.37915,0.7952543
grid_000040,14.2,42.0,POINT (14.2 42),EU,NF,360.17829833472746,C,0.0,128.61668,51.383316,0.68315125
grid_000041,14.8,42.0,POINT (14.8 42),EU,NF,360.00423343750396,C,0.0,127.54146,52.45854,0.7186438
grid_000042,15.4,42.0,POINT (15.4 42),EU,TF,366.9671658508518,C,0.0,129.87167,50.128326,0.63385767
grid_000043,16.0,42.0,POINT (16 42),EU,TF,355.3870004520712,C,0.0,159.70695,20.293045,0.5276742
