ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR,STR
grid_000000,10.2,40.2,POINT (10.2 40.2),EU,TF,144.345195185459,C,0.0,107.42937,72.57063,0.2853651
grid_000007,14.4,40.2,POINT (14.4 40.2),EU,TF,159.59143875233036,C,0.0,9.594633,9.594633,0.23339045
grid_000008,15.0,40.2,POINT (15 40.2),EU,TF,164.6719272805179,C,0.0,148.93938,31.060623,0.39033097
grid_000009,15.6,40.2,POINT (15.6 40.2),EU,NF,184.64221290371594,C,0.0,137.60672,42.39328,0.67430896
grid_000010,10.2,40.8,POINT (10.2 40.8),EU,TF,207.58854582778508,C,0.0,105.04582,74.95418,0.55050796
grid_000011,10.8,40.8,POINT (10.8 40.8),EU,TF,194.30397524162578,C,0.0,106.16464,73.83536,0.45969704
grid_000013,12.0,40.8,POINT (12 40.8),EU,TF,198.38344606520567,C,0.0,97.99224,82.00776,0.14732338
grid_000014,12.6,40.8,POINT (12.6 40.8),EU,TF,217.12361138954452,C,0.0,97.74294,82.25706,0.25203514
grid_000015,13.2,40.8,POINT (13.2 40.8),EU,SS,226.37235137039025,C,0.0,147.58754,32.41246,0.13206013
grid_000016,13.8,40.8,POINT (13.8 40.8),EU,TF,234.05567972035556,C,0.0,149.67278,30.327225,0.38531715
grid_000017,14.4,40.8,POINT (14.4 40.8),EU,TF,226.12647930302893,C,0.0,148.4108,31.589203,0.52344835
grid_000018,15.0,40.8,POINT (15 40.8),EU,NF,229.70886053058572,C,0.0,134.09962,45.900375,0.62158006
grid_000019,15.6,40.8,POINT (15.6 40.8),EU,NF,244.29677802564026,C,0.0,127.97504,52.024963,0.7292066
grid_000020,10.2,41.4,POINT (10.2 41.4),EU,TF,272.4558039591409,C,0.0,101.96151,78.03849,0.52990454
grid_000021,10.8,41.4,POINT (10.8 41.4),EU,TF,260.4378316222489,C,0.0,105.72645,74.27355,0.35769272
grid_000023,12.0,41.4,POINT (12 41.4),EU,TF,264.460261873156,A,0.0,160.47438,19.52562,0.13386212
grid_000024,12.6,41.4,POINT (12.6 41.4),EU,TF,274.7930238785242,C,0.0,153.57986,26.420135,0.42892587
grid_000025,13.2,41.4,POINT (13.2 41.4),EU,TF,290.72161534420155,C,0.0,144.35136,35.648636,0.53357065
grid_000026,13.8,41.4,POINT (13.8 41.4),EU,TF,298.82357592832375,C,0.0,137.76024,42.23976,0.6188911
grid_000027,14.4,41.4,POINT (14.4 41.4),EU,TF,292.7100906235458,C,0.0,131.26765,48.732346,0.74274945
grid_000028,15.0,41.4,POINT (15 41.4),EU,NF,295.4616874091594,C,0.0,139.52594,40.47406,0.67123526
grid_000029,15.6,41.4,POINT (15.6 41.4),EU,TF,306.83984523765724,C,0.0,140.45026,39.549744,0.5707214
grid_000033,12.0,42.0,POINT (12 42),EU,TF,330.18044636626644,C,0.0,135.94524,44.054764,0.40730077
grid_000034,12.6,42.0,POINT (12.6 42),EU,TF,339.0108582791904,C,0.0,136.86456,43.135437,0.59705627
grid_000035,13.2,42.0,POINT (13.2 42),EU,TF,355.9189157535847,C,0.0,137.48746,42.512543,0.7621348
grid_000036,13.8,42.0,POINT (13.8 42),EU,NF,364.27156067486527,C,0.0,131.98239,48.01761,0.7558894
grid_000037,14.4,42.0,POINT (14.4 42),EU,TF,359.31916044399793,C,0.0,128.54633,51.453674,0.66712433
grid_000038,15.0,42.0,POINT (15 42),EU,NF,361.5438868659352,C,0.0,130.67395,49.32605,0.6512944
grid_000039,15.6,42.0,POINT (15.6 42),EU,TF,370.81648457382187,C,0.0,136.81642,43.18358,0.6159793
grid_000041,10.8,42.6,POINT (10.8 42.6),EU,TF,393.2326608955229,C,0.0,130.08315,49.916855,0.31499192
grid_000042,11.4,42.6,POINT (11.4 42.6),EU,TF,391.48904663600183,C,0.0,128.5939,51.406097,0.50409037
grid_000043,12.0,42.6,POINT (12 42.6),EU,NF,395.87051032667404,C,0.0,122.851166,57.148834,0.65596575
grid_000044,12.6,42.6,POINT (12.6 42.6),EU,NF,404.0203863790831,C,0.0,121.6507,58.349297,0.8675585
grid_000045,13.2,42.6,POINT (13.2 42.6),EU,NF,421.5743054380307,C,0.0,142.39801,37.60199,0.97482044
grid_000046,13.8,42.6,POINT (13.8 42.6),EU,NF,430.092531182417,C,0.0,140.6038,39.396194,0.7759401
grid_000047,14.4,42.6,POINT (14.4 42.6),EU,TF,425.9450358500017,C,0.0,65.22976,65.22976,0.53125906
grid_000048,15.0,42.6,POINT (15 42.6),EU,NF,427.80612890629044,C,0.0,147.78867,32.211334,0.4036728
grid_000049,15.6,42.6,POINT (15.6 42.6),EU,TF,429.7011268731309,C,0.0,8.530837,8.530837,0.5421679
grid_000050,10.2,43.2,POINT (10.2 43.2),EU,NF,465.38720000291346,C,0.0,130.23647,49.763535,0.46118563
grid_000051,10.8,43.2,POINT (10.8 43.2),EU,TF,459.7475054371939,C,0.0,127.6861,52.313904,0.65331733
grid_000052,11.4,43.2,POINT (11.4 43.2),EU,SS,458.1415708398546,C,0.0,132.07114,47.928864,0.6659532
grid_000053,12.0,43.2,POINT (12 43.2),EU,NF,461.56014643132437,C,0.0,134.78519,45.214813,0.78429854
grid_000054,12.6,43.2,POINT (12.6 43.2),EU,NF,469.49584302623146,C,0.0,136.02486,43.975143,0.8927371
grid_000055,13.2,43.2,POINT (13.2 43.2),EU,TF,487.5056189463629,C,0.0,138.56126,41.438736,0.92164797
grid_000056,13.8,43.2,POINT (13.8 43.2),EU,NF,496.1408931516279,C,0.0,25.720284,25.720284,0.59935343
grid_000057,14.4,43.2,POINT (14.4 43.2),EU,TF,492.5837500444383,C,0.0,13.307749,13.307749,0.5076115
grid_000058,15.0,43.2,POINT (15 43.2),EU,TF,494.1788382550134,C,0.0,18.339903,18.339903,0.75097644
grid_000059,15.6,43.2,POINT (15.6 43.2),EU,TF,489.3849938843084,C,0.0,23.440807,23.440807,0.7411716
grid_000060,10.2,43.8,POINT (10.2 43.8),EU,TF,531.1911393299275,C,0.0,111.687546,68.312454,0.6410938
grid_000061,10.8,43.8,POINT (10.8 43.8),EU,NF,526.3046368605045,C,0.0,131.04263,48.957367,0.7333457
grid_000062,11.4,43.8,POINT (11.4 43.8),EU,NF,524.8016066607645,C,0.0,129.01605,50.983948,0.8218187
grid_000063,12.0,43.8,POINT (12 43.8),EU,NF,527.4840794339553,C,0.0,133.8134,46.1866,0.8569832
grid_000064,12.6,43.8,POINT (12.6 43.8),EU,NF,535.2689025308798,C,0.0,134.65462,45.345383,0.77170694
grid_000065,13.2,43.8,POINT (13.2 43.8),EU,TF,544.8871738035415,C,0.0,38.144005,38.144005,0.6210891
grid_000066,13.8,43.8,POINT (13.8 43.8),EU,TF,562.3390313448929,C,0.0,37.110977,37.110977,0.61998856
grid_000067,14.4,43.8,POINT (14.4 43.8),EU,TF,559.2332302726271,C,0.0,16.89667,16.89667,0.34990904
grid_000068,15.0,43.8,POINT (15 43.8),EU,TF,560.6252918186229,C,0.0,14.136098,14.136098,0.48829854
