ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR,STR
grid_000000,10.2,40.2,POINT (10.2 40.2),EU,TF,144.345195185459,C,0.0,111.215126,68.784874,0.36408523
grid_000001,10.8,40.2,POINT (10.8 40.2),EU,TF,128.9935808552613,C,0.0,118.972015,61.027985,0.27561402
grid_000004,12.6,40.2,POINT (12.6 40.2),EU,TF,150.7101874417047,C,0.0,72.995224,72.995224,0.09110299
grid_000007,14.4,40.2,POINT (14.4 40.2),EU,TF,159.59143875233036,C,0.0,5.4056745,5.4056745,0.18396394
grid_000008,15.0,40.2,POINT (15 40.2),EU,TF,164.6719272805179,C,0.0,150.17867,29.821335,0.43030998
grid_000009,15.6,40.2,POINT (15.6 40.2),EU,NF,184.64221290371594,C,0.0,142.21541,37.78459,0.6893455
grid_000010,10.2,40.8,POINT (10.2 40.8),EU,TF,207.58854582778508,C,0.0,107.61194,72.38806,0.5311686
grid_000011,10.8,40.8,POINT (10.8 40.8),EU,TF,194.30397524162578,C,0.0,106.6705,73.3295,0.46037555
grid_000013,12.0,40.8,POINT (12 40.8),EU,TF,198.38344606520567,C,0.0,128.68854,51.311462,0.11375852
grid_000014,12.6,40.8,POINT (12.6 40.8),EU,TF,217.12361138954452,C,0.0,90.8275,89.1725,0.19764489
grid_000015,13.2,40.8,POINT (13.2 40.8),EU,SS,226.37235137039025,C,0.0,163.764,16.235992,0.23962574
grid_000016,13.8,40.8,POINT (13.8 40.8),EU,TF,234.05567972035556,C,0.0,148.96478,31.035217,0.34616348
grid_000017,14.4,40.8,POINT (14.4 40.8),EU,TF,226.12647930302893,C,0.0,151.21474,28.785263,0.46538553
grid_000018,15.0,40.8,POINT (15 40.8),EU,NF,229.70886053058572,C,0.0,136.90091,43.09909,0.64779687
grid_000019,15.6,40.8,POINT (15.6 40.8),EU,NF,244.29677802564026,C,0.0,131.3323,48.667694,0.73295426
grid_000020,10.2,41.4,POINT (10.2 41.4),EU,TF,272.4558039591409,C,0.0,108.03401,71.96599,0.43753237
grid_000021,10.8,41.4,POINT (10.8 41.4),EU,TF,260.4378316222489,C,0.0,105.06502,74.93498,0.42192858
grid_000022,11.4,41.4,POINT (11.4 41.4),EU,TF,258.208012300523,C,0.0,176.4485,3.5514984,0.26709598
grid_000023,12.0,41.4,POINT (12 41.4),EU,TF,264.460261873156,C,0.0,152.57892,27.421082,0.24362063
grid_000024,12.6,41.4,POINT (12.6 41.4),EU,TF,274.7930238785242,C,0.0,157.76724,22.232758,0.4178227
grid_000025,13.2,41.4,POINT (13.2 41.4),EU,TF,290.72161534420155,C,0.0,147.3657,32.634293,0.5529196
grid_000026,13.8,41.4,POINT (13.8 41.4),EU,TF,298.82357592832375,C,0.0,140.67854,39.321457,0.5241722
grid_000027,14.4,41.4,POINT (14.4 41.4),EU,TF,292.7100906235458,C,0.0,134.9338,45.066193,0.672248
grid_000028,15.0,41.4,POINT (15 41.4),EU,NF,295.4616874091594,C,0.0,140.63075,39.369247,0.66247725
grid_000029,15.6,41.4,POINT (15.6 41.4),EU,TF,306.83984523765724,C,0.0,139.5057,40.494293,0.6000153
grid_000030,10.2,42.0,POINT (10.2 42),EU,TF,336.4113053796114,C,0.0,123.264786,56.735214,0.19435796
grid_000032,11.4,42.0,POINT (11.4 42),EU,TF,324.8443261558391,B,0.0,142.72708,37.27292,0.18542363
grid_000033,12.0,42.0,POINT (12 42),EU,TF,330.18044636626644,C,0.0,145.7349,34.265106,0.41795647
grid_000034,12.6,42.0,POINT (12.6 42),EU,TF,339.0108582791904,C,0.0,144.28752,35.71248,0.5367146
grid_000035,13.2,42.0,POINT (13.2 42),EU,TF,355.9189157535847,C,0.0,147.49313,32.506866,0.71761125
