ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR,STR
grid_000000,10.4,40.2,POINT (10.4 40.2),EU,TF,138.8499596884697,C,0.0,109.9709,70.0291,0.29844594
grid_000004,12.8,40.2,POINT (12.8 40.2),EU,TF,153.30217622381934,C,0.0,56.64992,56.64992,0.12341213
grid_000007,14.6,40.2,POINT (14.6 40.2),EU,TF,159.45689896799232,C,0.0,166.79276,13.207245,0.20590976
grid_000008,15.2,40.2,POINT (15.2 40.2),EU,SS,169.85317484825794,C,0.0,143.91785,36.082153,0.5469223
grid_000009,15.8,40.2,POINT (15.8 40.2),EU,NF,193.91263332011653,C,0.0,140.76355,39.23645,0.7183284
grid_000010,10.4,40.8,POINT (10.4 40.8),EU,TF,203.52151582191328,C,0.0,106.71272,73.28728,0.5007793
grid_000011,11.0,40.8,POINT (11 40.8),EU,TF,192.66097563587928,C,0.0,106.33606,73.66394,0.3811283
grid_000012,11.6,40.8,POINT (11.6 40.8),EU,TF,192.62634173919238,C,0.0,128.09186,51.908142,0.08789511
grid_000013,12.2,40.8,POINT (12.2 40.8),EU,TF,201.60711262223666,C,0.0,73.89662,73.89662,0.11871809
grid_000014,12.8,40.8,POINT (12.8 40.8),EU,TF,218.91493363526016,C,0.0,80.327965,80.327965,0.27489316
grid_000015,13.4,40.8,POINT (13.4 40.8),EU,TF,231.91384739629285,C,0.0,152.81766,27.182343,0.30248457
grid_000016,14.0,40.8,POINT (14 40.8),EU,NF,230.171461637143,C,0.0,147.1811,32.818893,0.52080166
grid_000017,14.6,40.8,POINT (14.6 40.8),EU,NF,226.03237865503507,C,0.0,149.01166,30.988342,0.54852116
grid_000018,15.2,40.8,POINT (15.2 40.8),EU,NF,233.41856201148744,C,0.0,134.22862,45.771378,0.6939355
grid_000019,15.8,40.8,POINT (15.8 40.8),EU,NF,251.31557053581983,C,0.0,131.25671,48.743286,0.69853604
grid_000020,10.4,41.4,POINT (10.4 41.4),EU,TF,267.28772291018765,C,0.0,107.884674,72.115326,0.42001516
grid_000021,11.0,41.4,POINT (11 41.4),EU,TF,259.2253130340458,C,0.0,108.18283,71.81717,0.3070569
grid_000022,11.6,41.4,POINT (11.6 41.4),EU,TF,258.9772223552794,C,0.0,5.607251,5.607251,0.39325982
grid_000023,12.2,41.4,POINT (12.2 41.4),EU,TF,266.86540641738367,C,0.0,153.57625,26.423752,0.32435286
grid_000024,12.8,41.4,POINT (12.8 41.4),EU,TF,285.0052599792305,C,0.0,153.48512,26.514877,0.48387706
grid_000025,13.4,41.4,POINT (13.4 41.4),EU,TF,295.01861836981766,C,0.0,142.36703,37.632965,0.60302645
grid_000026,14.0,41.4,POINT (14 41.4),EU,NF,295.8182760465427,C,0.0,135.51793,44.48207,0.6813085
grid_000027,14.6,41.4,POINT (14.6 41.4),EU,TF,292.6380498096526,C,0.0,135.07368,44.926315,0.6840023
grid_000028,15.2,41.4,POINT (15.2 41.4),EU,TF,298.32926410191925,C,0.0,139.23843,40.761566,0.63084114
grid_000029,15.8,41.4,POINT (15.8 41.4),EU,TF,308.3152454175663,C,0.0,138.0838,41.9162,0.56980366
grid_000030,10.4,42.0,POINT (10.4 42),EU,TF,331.2952831737404,C,0.0,123.61449,56.385513,0.16650988
grid_000032,11.6,42.0,POINT (11.6 42),EU,TF,325.450522073609,C,0.0,146.63718,33.362823,0.31197605
grid_000033,12.2,42.0,POINT (12.2 42),EU,TF,332.6760333787796,C,0.0,148.49503,31.504974,0.4940149
grid_000034,12.8,42.0,POINT (12.8 42),EU,NF,351.30770152809043,C,0.0,141.30086,38.699142,0.67309064
grid_000035,13.4,42.0,POINT (13.4 42),EU,NF,359.4055449836986,C,0.0,141.03209,38.96791,0.8163886
grid_000036,14.0,42.0,POINT (14 42),EU,NF,361.8327130701681,C,0.0,133.80844,46.19156,0.7142298
grid_000037,14.6,42.0,POINT (14.6 42),EU,NF,359.2610093299167,C,0.0,130.6776,49.322403,0.69892967
grid_000038,15.2,42.0,POINT (15.2 42),EU,NF,363.8698520752464,C,0.0,129.564,50.436005,0.6813547
grid_000039,15.8,42.0,POINT (15.8 42),EU,TF,363.5948855699354,C,0.0,146.00456,33.995438,0.5838363
grid_000040,10.4,42.6,POINT (10.4 42.6),EU,TF,396.9568914759227,C,0.0,138.50046,41.499542,0.2809974
grid_000041,11.0,42.6,POINT (11 42.6),EU,TF,392.445324635729,C,0.0,135.11407,44.885925,0.44290096
grid_000042,11.6,42.6,POINT (11.6 42.6),EU,TF,391.98753975574243,C,0.0,128.60068,51.399323,0.5553864
grid_000043,12.2,42.6,POINT (12.2 42.6),EU,NF,398.7691362294524,C,0.0,124.90964,55.090363,0.764397
