ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR,STR
grid_000000,10.0,40.4,POINT (10 40.4),EU,TF,171.48792413786344,C,0.0,106.23331,73.76669,0.43414068
grid_000001,10.6,40.4,POINT (10.6 40.4),EU,TF,155.62896851485314,C,0.0,107.16894,72.83106,0.41503692
grid_000004,12.4,40.4,POINT (12.4 40.4),EU,TF,171.2138361759679,C,0.0,53.879642,53.879642,0.10008278
grid_000005,13.0,40.4,POINT (13 40.4),EU,TF,178.97179285509307,C,0.0,47.75098,47.75098,0.103662334
grid_000008,14.8,40.4,POINT (14.8 40.4),EU,TF,183.1447734734505,C,0.0,130.45187,49.548126,0.4388314
grid_000009,15.4,40.4,POINT (15.4 40.4),EU,NF,196.7908082629391,C,0.0,131.38446,48.61554,0.6707837
grid_000010,16.0,40.4,POINT (16 40.4),EU,NF,216.43615196215487,C,0.0,136.45189,43.54811,0.6840167
grid_000011,10.0,41.0,POINT (10 41),EU,TF,233.681265985853,C,0.0,104.976265,75.023735,0.54894525
grid_000012,10.6,41.0,POINT (10.6 41),EU,TF,219.40554732522415,C,0.0,105.63731,74.36269,0.49610287
grid_000014,11.8,41.0,POINT (11.8 41),EU,TF,217.58499989381082,C,0.0,134.07683,45.923172,0.04203715
grid_000015,12.4,41.0,POINT (12.4 41),EU,SS,227.41485419182524,C,0.0,82.9278,82.9278,0.20661914
grid_000016,13.0,41.0,POINT (13 41),EU,NF,243.72389690983024,C,0.0,102.85518,77.14482,0.1665072
grid_000017,13.6,41.0,POINT (13.6 41),EU,TF,259.6453513366874,C,0.0,142.69223,37.30777,0.4259218
grid_000018,14.2,41.0,POINT (14.2 41),EU,NF,249.57769147189234,C,0.0,141.73166,38.26834,0.6084733
grid_000019,14.8,41.0,POINT (14.8 41),EU,NF,249.3225970022272,C,0.0,141.16411,38.83589,0.61112094
grid_000020,15.4,41.0,POINT (15.4 41),EU,NF,259.42371203541217,C,0.0,128.01845,51.981552,0.6637179
grid_000021,16.0,41.0,POINT (16 41),EU,NF,263.1339126662009,C,0.0,131.21832,48.781677,0.51558083
grid_000022,10.0,41.6,POINT (10 41.6),EU,TF,297.8056757974779,C,0.0,103.22224,76.77776,0.47369277
grid_000023,10.6,41.6,POINT (10.6 41.6),EU,TF,284.6616522991937,C,0.0,106.4632,73.5368,0.2601063
grid_000025,11.8,41.6,POINT (11.8 41.6),EU,TF,283.27563150752695,A,0.0,132.72247,47.277527,0.1868583
grid_000026,12.4,41.6,POINT (12.4 41.6),EU,NF,291.9479810832368,C,0.0,141.80544,38.194565,0.46725717
grid_000027,13.0,41.6,POINT (13 41.6),EU,TF,309.2808734768778,C,0.0,143.03983,36.960175,0.5711663
grid_000028,13.6,41.6,POINT (13.6 41.6),EU,TF,324.24655365681076,C,0.0,137.70732,42.29268,0.6516983
grid_000029,14.2,41.6,POINT (14.2 41.6),EU,NF,315.89678545894856,C,0.0,129.23352,50.76648,0.7205183
grid_000030,14.8,41.6,POINT (14.8 41.6),EU,NF,315.6970922389093,C,0.0,129.53387,50.466125,0.73039305
grid_000031,15.4,41.6,POINT (15.4 41.6),EU,TF,323.66256854148185,C,0.0,136.91563,43.084366,0.6507835
grid_000032,16.0,41.6,POINT (16 41.6),EU,TF,317.04062206783453,C,0.0,140.90439,39.09561,0.5147415
grid_000035,11.2,42.2,POINT (11.2 42.2),EU,TF,347.36668783255413,B,0.0,143.34769,36.652313,0.25219905
grid_000036,11.8,42.2,POINT (11.8 42.2),EU,TF,349.00933743698687,C,0.0,124.36185,55.638153,0.40017802
grid_000037,12.4,42.2,POINT (12.4 42.2),EU,TF,357.2604138929231,C,0.0,120.293434,59.706566,0.43404776
grid_000038,13.0,42.2,POINT (13 42.2),EU,NF,375.2248151607556,C,0.0,136.20709,43.792908,0.8200108
grid_000039,13.6,42.2,POINT (13.6 42.2),EU,NF,389.197536213596,C,0.0,137.06349,42.93651,0.8127715
grid_000040,14.2,42.2,POINT (14.2 42.2),EU,TF,382.33292965013555,C,0.0,130.4383,49.561707,0.58246744
