ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR,STR
grid_000000,10.0,40.4,POINT (10 40.4),EU,TF,171.48792413786344,C,0.0,105.046135,74.953865,0.43831006
grid_000001,10.6,40.4,POINT (10.6 40.4),EU,TF,155.62896851485314,C,0.0,107.93471,72.06529,0.3931182
grid_000004,12.4,40.4,POINT (12.4 40.4),EU,TF,171.2138361759679,C,0.0,92.063896,87.936104,0.10656362
grid_000005,13.0,40.4,POINT (13 40.4),EU,TF,178.97179285509307,C,0.0,56.107338,56.107338,0.10034589
grid_000007,14.2,40.4,POINT (14.2 40.4),EU,TF,183.49497744224098,C,0.0,0.79911876,0.79911876,0.27181354
grid_000008,14.8,40.4,POINT (14.8 40.4),EU,TF,183.1447734734505,C,0.0,130.01843,49.981567,0.45707974
grid_000009,15.4,40.4,POINT (15.4 40.4),EU,NF,196.7908082629391,C,0.0,133.23114,46.76886,0.6939414
grid_000010,16.0,40.4,POINT (16 40.4),EU,NF,216.43615196215487,C,0.0,140.00986,39.990143,0.6871574
grid_000011,10.0,41.0,POINT (10 41),EU,TF,233.681265985853,C,0.0,108.49767,71.50233,0.5046205
grid_000012,10.6,41.0,POINT (10.6 41),EU,TF,219.40554732522415,C,0.0,109.90454,70.09546,0.42688432
grid_000013,11.2,41.0,POINT (11.2 41),EU,TF,214.1800923739454,C,0.0,115.224304,64.775696,0.22424921
grid_000014,11.8,41.0,POINT (11.8 41),EU,TF,217.58499989381082,C,0.0,158.58673,21.413269,0.124755666
grid_000015,12.4,41.0,POINT (12.4 41),EU,SS,227.41485419182524,A,0.0,79.52097,79.52097,0.17356038
grid_000016,13.0,41.0,POINT (13 41),EU,NF,243.72389690983024,C,0.0,135.42986,44.570145,0.20294754
grid_000017,13.6,41.0,POINT (13.6 41),EU,TF,259.6453513366874,C,0.0,145.00563,34.99437,0.5421411
grid_000018,14.2,41.0,POINT (14.2 41),EU,NF,249.57769147189234,C,0.0,144.0687,35.931305,0.6170246
grid_000019,14.8,41.0,POINT (14.8 41),EU,NF,249.3225970022272,C,0.0,141.84503,38.15497,0.64142984
grid_000020,15.4,41.0,POINT (15.4 41),EU,NF,259.42371203541217,C,0.0,131.87276,48.127243,0.6605059
grid_000021,16.0,41.0,POINT (16 41),EU,NF,263.1339126662009,C,0.0,135.17667,44.823334,0.5948866
grid_000022,10.0,41.6,POINT (10 41.6),EU,TF,297.8056757974779,C,0.0,104.81178,75.18822,0.44181013
grid_000023,10.6,41.6,POINT (10.6 41.6),EU,TF,284.6616522991937,C,0.0,107.668465,72.331535,0.3112209
grid_000025,11.8,41.6,POINT (11.8 41.6),EU,TF,283.27563150752695,C,0.0,150.57852,29.421478,0.30774
grid_000026,12.4,41.6,POINT (12.4 41.6),EU,NF,291.9479810832368,C,0.0,144.25488,35.745117,0.47164023
grid_000027,13.0,41.6,POINT (13 41.6),EU,TF,309.2808734768778,C,0.0,150.5448,29.4552,0.5836819
grid_000028,13.6,41.6,POINT (13.6 41.6),EU,TF,324.24655365681076,C,0.0,140.96048,39.03952,0.6394934
grid_000029,14.2,41.6,POINT (14.2 41.6),EU,NF,315.89678545894856,C,0.0,132.31859,47.68141,0.73471135
grid_000030,14.8,41.6,POINT (14.8 41.6),EU,NF,315.6970922389093,C,0.0,131.76123,48.23877,0.7438346
