ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR,STR
grid_000008,15.0,40.4,POINT (15 40.4),EU,NF,186.22535956192613,C,0.0,7.4782224,7.4782224,0.55109835
grid_000009,15.6,40.4,POINT (15.6 40.4),EU,NF,204.0476987644658,C,0.0,139.4565,40.543503,0.68208194
grid_000010,10.2,41.0,POINT (10.2 41),EU,TF,229.0976478540448,C,0.0,92.97246,87.02754,0.6314854
grid_000014,12.6,41.0,POINT (12.6 41),EU,SS,239.28339248023073,C,0.0,104.233635,75.766365,0.470043
grid_000018,15.0,41.0,POINT (15 41),EU,NF,251.57424764317304,C,0.0,148.87317,31.126831,0.6045574
grid_000019,15.6,41.0,POINT (15.6 41),EU,NF,264.92236192845434,C,0.0,152.87589,27.124115,0.2271073
grid_000024,12.6,41.6,POINT (12.6 41.6),EU,NF,296.0793672664508,A,0.0,136.11765,43.882355,0.46932125
grid_000025,13.2,41.6,POINT (13.2 41.6),EU,NF,312.3856812438071,C,0.0,146.4548,33.545197,0.28290892
grid_000026,13.8,41.6,POINT (13.8 41.6),EU,NF,320.58427052455573,C,0.0,133.67497,46.325027,0.5102722
grid_000027,14.4,41.6,POINT (14.4 41.6),EU,NF,314.9108632841451,C,0.0,129.02074,50.979263,0.7135639
grid_000028,15.0,41.6,POINT (15 41.6),EU,TF,317.46240882033936,C,0.0,142.68594,37.314056,0.6627155
grid_000029,15.6,41.6,POINT (15.6 41.6),EU,TF,328.04693016541637,A,0.0,137.81918,42.180817,0.4512841
grid_000034,12.6,42.2,POINT (12.6 42.2),EU,TF,360.61358023195197,C,0.0,156.56715,23.432846,0.2766588
grid_000035,13.2,42.2,POINT (13.2 42.2),EU,TF,377.76472417850823,C,0.0,135.13206,44.867935,0.6740413
grid_000036,13.8,42.2,POINT (13.8 42.2),EU,NF,386.17965778804705,C,0.0,126.292946,53.707054,0.5757958
grid_000038,15.0,42.2,POINT (15 42.2),EU,NF,383.61571749314754,C,0.0,119.53451,60.465492,0.3767071
grid_000039,15.6,42.2,POINT (15.6 42.2),EU,TF,391.16581371035187,C,0.0,179.72858,0.27142334,0.43678272
grid_000042,11.4,42.8,POINT (11.4 42.8),EU,TF,413.70570601663053,C,0.0,162.08669,17.913315,0.4027776
grid_000043,12.0,42.8,POINT (12 42.8),EU,NF,417.7671068223663,C,0.0,126.71466,53.28534,0.61065906
grid_000044,12.6,42.8,POINT (12.6 42.8),EU,NF,425.80418846062474,C,0.0,127.47597,52.524033,0.75600684
grid_000045,13.2,42.8,POINT (13.2 42.8),EU,NF,443.52666114017484,C,0.0,178.27196,1.7280426,0.90073496
grid_000046,13.8,42.8,POINT (13.8 42.8),EU,TF,452.08814707413956,C,0.0,94.42689,85.57311,0.3509402
grid_000047,14.4,42.8,POINT (14.4 42.8),EU,TF,448.1566418456211,C,0.0,66.385956,66.385956,0.42084703
grid_000048,15.0,42.8,POINT (15 42.8),EU,TF,449.9203494085857,C,0.0,18.617674,18.617674,0.5983602
grid_000051,10.8,43.4,POINT (10.8 43.4),EU,TF,481.9292380380381,C,0.0,132.62671,47.37329,0.50881684
grid_000052,11.4,43.4,POINT (11.4 43.4),EU,NF,480.3607578086492,C,0.0,131.55046,48.44954,0.62431806
grid_000053,12.0,43.4,POINT (12 43.4),EU,TF,483.45658403172155,C,0.0,138.42499,41.575012,0.537156
grid_000054,12.6,43.4,POINT (12.6 43.4),EU,NF,491.3928779807491,C,0.0,141.89062,38.109375,0.7572505
grid_000055,13.2,43.4,POINT (13.2 43.4),EU,NF,509.5260172722776,C,0.0,168.02972,11.970276,0.5915462
grid_000056,13.8,43.4,POINT (13.8 43.4),EU,TF,518.1929951372139,C,0.0,27.51354,27.51354,0.67193466
grid_000058,15.0,43.4,POINT (15 43.4),EU,TF,516.3207329162926,C,0.0,179.53917,0.4608307,0.53863925
grid_000059,15.6,43.4,POINT (15.6 43.4),EU,TF,509.6645084569607,C,0.0,19.913897,19.913897,0.49322757
grid_000060,10.2,44.0,POINT (10.2 44),EU,NF,553.1728741570148,C,0.0,109.12153,70.87847,0.6436967
grid_000061,10.8,44.0,POINT (10.8 44),EU,NF,548.4975278792814,C,0.0,152.14917,27.85083,0.48279035
grid_000062,11.4,44.0,POINT (11.4 44),EU,NF,547.0232582629806,C,0.0,131.44765,48.552353,0.7387122
grid_000063,12.0,44.0,POINT (12 44),EU,NF,549.5889504550911,C,0.0,136.58606,43.41394,0.6872207
grid_000064,12.6,44.0,POINT (12.6 44),EU,NF,557.2416264890606,C,0.0,149.66956,30.330444,0.45717382
grid_000065,13.2,44.0,POINT (13.2 44),EU,TF,566.4572041466989,C,0.0,41.185036,41.185036,0.7166068
grid_000070,10.2,44.6,POINT (10.2 44.6),EU,TF,619.22542136403,C,0.0,16.870785,16.870785,0.5973887
grid_000071,10.8,44.6,POINT (10.8 44.6),EU,TF,615.0934898419359,C,0.0,164.9136,15.086395,0.5550005
grid_000072,11.4,44.6,POINT (11.4 44.6),EU,TF,613.693075868371,C,0.0,179.92421,0.075790405,0.36031547
grid_000073,12.0,44.6,POINT (12 44.6),EU,TF,615.9587129760905,C,0.0,169.92932,10.070679,0.33342308
grid_000074,12.6,44.6,POINT (12.6 44.6),EU,TF,623.2702733931459,C,0.0,142.90834,37.09166,0.48165333
grid_000079,15.6,44.6,POINT (15.6 44.6),EU,NF,634.08832331026,C,0.0,175.8592,4.140793,0.16057433
