ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR,STR
grid_000000,10.2,40.4,POINT (10.2 40.4),EU,TF,165.13027896952164,C,0.0,104.1957,75.8043,0.45759952
grid_000001,10.8,40.4,POINT (10.8 40.4),EU,TF,150.46357583519568,C,0.0,108.69249,71.30751,0.37031126
grid_000003,12.0,40.4,POINT (12 40.4),EU,TF,154.6016276588215,C,0.0,8.242638,8.242638,0.079928614
grid_000004,12.6,40.4,POINT (12.6 40.4),EU,TF,172.8290038991056,C,0.0,76.28769,76.28769,0.09460891
grid_000005,13.2,40.4,POINT (13.2 40.4),EU,TF,184.37969885913594,C,0.0,26.985128,26.985128,0.07828879
grid_000007,14.4,40.4,POINT (14.4 40.4),EU,TF,181.7615688288536,C,0.0,167.2745,12.725494,0.2649108
grid_000008,15.0,40.4,POINT (15 40.4),EU,NF,186.22535956192613,C,0.0,126.65784,53.342163,0.63302785
grid_000009,15.6,40.4,POINT (15.6 40.4),EU,NF,204.0476987644658,C,0.0,135.00723,44.992767,0.70965993
grid_000010,10.2,41.0,POINT (10.2 41),EU,TF,229.0976478540448,C,0.0,107.89918,72.10082,0.50390464
grid_000011,10.8,41.0,POINT (10.8 41),EU,TF,216.3137692797248,C,0.0,105.322556,74.677444,0.42850542
grid_000013,12.0,41.0,POINT (12 41),EU,TF,220.3710546363588,C,0.0,147.48686,32.513138,0.09592565
grid_000014,12.6,41.0,POINT (12.6 41),EU,SS,239.28339248023073,A,0.0,53.161297,53.161297,0.172938
grid_000015,13.2,41.0,POINT (13.2 41),EU,NF,247.68725234426887,C,0.0,146.17715,33.822845,0.37102944
grid_000016,13.8,41.0,POINT (13.8 41),EU,TF,255.53772017543966,C,0.0,144.05937,35.940628,0.53950036
grid_000017,14.4,41.0,POINT (14.4 41),EU,TF,248.31727109449636,C,0.0,145.06293,34.937073,0.6184468
grid_000018,15.0,41.0,POINT (15 41),EU,NF,251.57424764317304,C,0.0,135.65009,44.349915,0.6485389
grid_000019,15.6,41.0,POINT (15.6 41),EU,NF,264.92236192845434,C,0.0,132.98721,47.012787,0.6779716
grid_000020,10.2,41.6,POINT (10.2 41.6),EU,TF,293.9127251656252,C,0.0,104.248924,75.751076,0.46845543
grid_000021,10.8,41.6,POINT (10.8 41.6),EU,TF,282.53615082780954,C,0.0,109.39814,70.60186,0.33312967
grid_000022,11.4,41.6,POINT (11.4 41.6),EU,TF,280.41912159233846,C,0.0,159.74889,20.251114,0.15082231
grid_000023,12.0,41.6,POINT (12 41.6),EU,TF,286.3868678290425,C,0.0,149.70161,30.298386,0.37101963
