ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR,STR
grid_000000,10.4,40.4,POINT (10.4 40.4),EU,TF,160.36310719421397,C,0.0,103.99112,76.00888,0.44371587
grid_000003,12.2,40.4,POINT (12.2 40.4),EU,TF,158.74106594827333,C,0.0,47.97209,47.97209,0.09252478
grid_000004,12.8,40.4,POINT (12.8 40.4),EU,TF,175.08730425436457,C,0.0,56.441246,56.441246,0.10115857
grid_000007,14.6,40.4,POINT (14.6 40.4),EU,NF,181.64379501440686,C,0.0,144.71973,35.280273,0.27124873
grid_000008,15.2,40.4,POINT (15.2 40.4),EU,NF,190.80904621280519,C,0.0,126.19931,53.80069,0.679187
grid_000009,15.8,40.4,POINT (15.8 40.4),EU,NF,212.44905550405798,C,0.0,130.58691,49.413086,0.72795486
grid_000010,10.4,41.0,POINT (10.4 41),EU,TF,224.77863562821437,C,0.0,103.78293,76.21707,0.54156226
grid_000011,11.0,41.0,POINT (11 41),EU,TF,214.84355281648652,C,0.0,105.479164,74.520836,0.4341026
grid_000013,12.2,41.0,POINT (12.2 41),EU,TF,223.26891491719,C,0.0,61.07115,61.07115,0.12341223
grid_000014,12.8,41.0,POINT (12.8 41),EU,NF,240.91104507254363,C,0.0,84.9014,84.9014,0.2418708
grid_000015,13.4,41.0,POINT (13.4 41),EU,TF,252.74697427700895,C,0.0,146.15857,33.84143,0.40141326
grid_000016,14.0,41.0,POINT (14 41),EU,NF,251.99546135331116,C,0.0,143.05318,36.946823,0.5710583
grid_000017,14.6,41.0,POINT (14.6 41),EU,TF,248.2318368342587,C,0.0,141.4484,38.551605,0.59247756
grid_000018,15.2,41.0,POINT (15.2 41),EU,NF,254.95602222579268,C,0.0,131.2914,48.708603,0.640578
grid_000019,15.8,41.0,POINT (15.8 41),EU,NF,271.3892873125617,C,0.0,129.7034,50.2966,0.628308
grid_000020,10.4,41.6,POINT (10.4 41.6),EU,TF,288.53967330668,C,0.0,101.67036,78.32964,0.4683873
grid_000022,11.6,41.6,POINT (11.6 41.6),EU,TF,281.12542612347715,C,0.0,138.0877,41.912292,0.10209765
grid_000023,12.2,41.6,POINT (12.2 41.6),EU,TF,288.75925686452996,C,0.0,142.71481,37.285187,0.3895757
grid_000024,12.8,41.6,POINT (12.8 41.6),EU,TF,307.08905615043534,C,0.0,146.2177,33.782303,0.52971995
grid_000025,13.4,41.6,POINT (13.4 41.6),EU,NF,316.3765857888147,C,0.0,141.00317,38.996826,0.63866895
grid_000026,14.0,41.6,POINT (14 41.6),EU,NF,317.7933112280729,C,0.0,132.58191,47.41809,0.68601274
grid_000027,14.6,41.6,POINT (14.6 41.6),EU,NF,314.84410439374193,C,0.0,129.0182,50.981796,0.769016
grid_000028,15.2,41.6,POINT (15.2 41.6),EU,TF,320.1249526285568,C,0.0,135.40009,44.599915,0.68735063
grid_000029,15.8,41.6,POINT (15.8 41.6),EU,TF,326.27022934178456,C,0.0,141.61403,38.38597,0.50334436
grid_000032,11.6,42.2,POINT (11.6 42.2),EU,NF,347.6240549399292,C,0.0,122.09206,57.907944,0.36878133
grid_000033,12.2,42.2,POINT (12.2 42.2),EU,NF,354.6832704427523,C,0.0,116.92653,63.07347,0.5149664
grid_000034,12.8,42.2,POINT (12.8 42.2),EU,NF,364.7213492916833,C,0.0,130.90253,49.097473,0.7413488
