ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR,STR
grid_000000,10.4,40.4,POINT (10.4 40.4),EU,TF,160.36310719421397,C,0.0,104.0408,75.9592,0.46523112
grid_000001,11.0,40.4,POINT (11 40.4),EU,TF,148.32310367366347,C,0.0,112.18531,67.81469,0.24402754
grid_000003,12.2,40.4,POINT (12.2 40.4),EU,TF,158.74106594827333,C,0.0,116.17032,63.82968,0.08544794
grid_000004,12.8,40.4,POINT (12.8 40.4),EU,TF,175.08730425436457,C,0.0,85.752396,85.752396,0.11490962
grid_000007,14.6,40.4,POINT (14.6 40.4),EU,NF,181.64379501440686,C,0.0,141.04192,38.958084,0.32257167
grid_000008,15.2,40.4,POINT (15.2 40.4),EU,NF,190.80904621280519,C,0.0,128.92786,51.072144,0.695279
grid_000009,15.8,40.4,POINT (15.8 40.4),EU,NF,212.44905550405798,C,0.0,132.60628,47.393723,0.7248767
grid_000010,10.4,41.0,POINT (10.4 41),EU,TF,224.77863562821437,C,0.0,106.61588,73.38412,0.478669
grid_000011,11.0,41.0,POINT (11 41),EU,TF,214.84355281648652,C,0.0,105.18928,74.81072,0.39589947
grid_000012,11.6,41.0,POINT (11.6 41),EU,TF,214.72309228929376,C,0.0,153.52011,26.479889,0.06199967
grid_000013,12.2,41.0,POINT (12.2 41),EU,TF,223.26891491719,A,0.0,11.577863,11.577863,0.09275339
grid_000014,12.8,41.0,POINT (12.8 41),EU,NF,240.91104507254363,C,0.0,101.9842,78.0158,0.20634168
grid_000015,13.4,41.0,POINT (13.4 41),EU,TF,252.74697427700895,C,0.0,147.29074,32.70926,0.38168836
grid_000016,14.0,41.0,POINT (14 41),EU,NF,251.99546135331116,C,0.0,144.03545,35.964554,0.6164026
grid_000017,14.6,41.0,POINT (14.6 41),EU,TF,248.2318368342587,C,0.0,144.19379,35.806213,0.5806699
grid_000018,15.2,41.0,POINT (15.2 41),EU,NF,254.95602222579268,C,0.0,134.97372,45.026276,0.63666064
grid_000019,15.8,41.0,POINT (15.8 41),EU,NF,271.3892873125617,C,0.0,134.07336,45.926636,0.6389394
