ID,LON,LAT,geometry,PLATE,REGIME,DIST,QUALITY,AZI,AZI_PRED,AZI_ERROR
grid_000000,10.0,44.5,POINT (10 44.5),EU,NF,610.5090221266628,C,0.0,176.39922,3.6007843
grid_000001,13.0,40.5,POINT (13 40.5),EU,TF,189.67312198758617,C,0.0,4.6344295,4.6344295
grid_000002,12.0,43.0,POINT (12 43),EU,NF,439.6636531031466,C,0.0,5.358705,5.358705
grid_000003,13.0,43.5,POINT (13 43.5),EU,TF,508.68146668720885,C,0.0,152.94182,27.058182
grid_000004,12.0,42.0,POINT (12 42),EU,TF,330.18044636626644,C,0.0,14.480643,14.480643
grid_000005,16.0,40.0,POINT (16 40),EU,NF,182.6686520273247,C,0.0,29.182955,29.182955
grid_000006,10.5,45.0,POINT (10.5 45),EU,TF,611.6594534638396,C,0.0,166.29585,13.704147
grid_000007,10.0,42.5,POINT (10 42.5),EU,TF,394.89755024671297,C,0.0,15.3524,15.3524
grid_000008,10.5,42.5,POINT (10.5 42.5),EU,TF,384.75627691070054,C,0.0,13.524386,13.524386
grid_000009,12.5,40.5,POINT (12.5 40.5),EU,TF,183.13452000372772,C,0.0,178.85614,1.1438599
grid_000010,16.0,41.5,POINT (16 41.5),EU,TF,307.70991128938266,C,0.0,28.616043,28.616043
grid_000011,10.0,43.0,POINT (10 43),EU,TF,447.9996069428333,C,0.0,14.85685,14.85685
grid_000012,11.5,43.5,POINT (11.5 43.5),EU,NF,491.5952292003902,C,0.0,179.14697,0.85302734
grid_000013,11.0,45.0,POINT (11 45),EU,TF,611.6608482483035,C,0.0,160.14484,19.855164
grid_000014,14.5,43.5,POINT (14.5 43.5),EU,TF,525.8209188613489,C,0.0,145.30505,34.694946
grid_000015,16.0,42.0,POINT (16 42),EU,TF,355.3870004520712,C,0.0,25.492725,25.492725
grid_000016,10.5,41.0,POINT (10.5 41),EU,TF,222.09208043317653,C,0.0,174.98262,5.0173798
grid_000017,12.0,42.5,POINT (12 42.5),EU,NF,384.92219409353004,C,0.0,13.738928,13.738928
grid_000018,14.0,44.5,POINT (14 44.5),EU,TF,638.3688558129937,C,0.0,145.10663,34.89337
grid_000019,14.0,42.5,POINT (14 42.5),EU,TF,417.00207934645556,C,0.0,175.42857,4.5714264
grid_000020,15.5,40.0,POINT (15.5 40),EU,NF,161.24341589842652,C,0.0,26.561357,26.561357
grid_000021,11.0,44.5,POINT (11 44.5),EU,TF,603.4035980671422,C,0.0,164.518,15.481995
grid_000022,13.0,44.0,POINT (13 44),EU,TF,562.9082560537972,C,0.0,154.1823,25.817703
grid_000023,14.5,44.0,POINT (14.5 44),EU,TF,581.3744553235523,C,0.0,141.69002,38.309982
grid_000024,11.5,42.0,POINT (11.5 42),EU,TF,325.03724914188507,C,0.0,13.01438,13.01438
grid_000025,13.0,41.5,POINT (13 41.5),EU,TF,298.32105681367625,C,0.0,17.724377,17.724377
grid_000026,14.5,40.0,POINT (14.5 40),EU,TF,137.0855456947743,C,0.0,19.732754,19.732754
grid_000027,12.0,40.0,POINT (12 40),EU,TF,111.32820849364259,C,0.0,179.22063,0.77937317
grid_000028,10.0,41.0,POINT (10 41),EU,TF,233.681265985853,C,0.0,177.86931,2.1306915
grid_000029,13.5,44.5,POINT (13.5 44.5),EU,TF,633.907904993289,C,0.0,150.35315,29.64685
grid_000030,12.5,41.0,POINT (12.5 41),EU,SS,229.935544627281,C,0.0,5.5468163,5.5468163
grid_000031,13.5,43.5,POINT (13.5 43.5),EU,TF,524.2421486697448,C,0.0,147.8702,32.129807
grid_000032,15.0,41.0,POINT (15 41),EU,NF,251.57424764317304,C,0.0,23.688295,23.688295
grid_000033,11.5,40.5,POINT (11.5 40.5),EU,TF,158.67776727378438,C,0.0,173.50333,6.4966736
grid_000034,15.0,40.0,POINT (15 40),EU,TF,143.31921309463843,C,0.0,24.27515,24.27515
grid_000035,11.0,43.5,POINT (11 43.5),EU,NF,492.370440898179,C,0.0,4.07918,4.07918
grid_000036,13.5,44.0,POINT (13.5 44),EU,TF,579.0038656990124,C,0.0,151.27777,28.722229
grid_000037,11.5,41.5,POINT (11.5 41.5),EU,TF,269.5478881412062,C,0.0,2.5697749,2.5697749
grid_000038,10.5,44.5,POINT (10.5 44.5),EU,NF,605.5913650713742,C,0.0,169.83752,10.162476
grid_000039,15.0,44.5,POINT (15 44.5),EU,TF,638.2115743146888,C,0.0,135.92365,44.076355
grid_000040,12.5,43.5,POINT (12.5 43.5),EU,NF,501.1073150531767,C,0.0,163.48283,16.517166
grid_000041,14.0,42.0,POINT (14 42),EU,NF,361.8327130701681,C,0.0,19.224337,19.224337
grid_000042,10.0,40.0,POINT (10 40),EU,SS,132.98618950531963,C,0.0,3.3748844,3.3748844
grid_000043,13.0,43.0,POINT (13 43),EU,NF,454.77905798748026,C,0.0,161.41673,18.583267
grid_000044,11.0,41.0,POINT (11 41),EU,TF,214.84355281648652,C,0.0,174.82906,5.170944
grid_000045,10.5,41.5,POINT (10.5 41.5),EU,TF,275.22741105122867,C,0.0,0.493975,0.493975
grid_000046,14.0,43.0,POINT (14 43),EU,TF,472.2628550896675,C,0.0,148.56967,31.430328
grid_000047,15.5,40.5,POINT (15.5 40.5),EU,NF,210.35882123557042,C,0.0,25.955357,25.955357
grid_000048,16.0,40.5,POINT (16 40.5),EU,NF,223.5184618878669,C,0.0,29.355679,29.355679
grid_000049,15.0,40.5,POINT (15 40.5),EU,NF,197.05686984683723,C,0.0,22.622849,22.622849
grid_000050,15.5,44.0,POINT (15.5 44),EU,TF,574.2912812062531,C,0.0,135.60983,44.390167
grid_000051,11.0,42.5,POINT (11 42.5),EU,TF,381.34077690427443,C,0.0,15.998193,15.998193
